id,name,reactants,products,modifiers
rnR01476,['ATP:D-glucuronate 1-phosphotransferase'],"[['D-Glucuronate', 'Glucuronic acid', 'Glucuronate']]","[['D-Glucuronate 1-phosphate', '1-Phospho-alpha-D-glucuronate']]","[['GLCAK', 'glucuronokinase']]"
rnR01980,['ATP:D-galacturonate 1-phosphotransferase'],"[['1-Phospho-alpha-D-galacturonate', 'D-Galacturonate 1-phosphate']]","[['D-Galacturonate', 'D-Galacturonic acid']]","[['GALAK', 'galacturonokinase']]"
rnR01385,['UDP-glucuronate 4-epimerase'],"[['UDP-glucuronate', 'UDPglucuronate', 'UDP-D-glucuronate', 'UDP-alpha-D-glucuronate']]","[['UDP-D-galacturonate', 'UDPgalacturonate', 'UDP-alpha-D-galacturonate']]","[['GAE, cap1J', 'UDP-glucuronate 4-epimerase']]"
rnR01201,['ATP:N-acetyl-D-glucosamine 6-phosphotransferase'],"[['N-Acetyl-D-glucosamine', 'N-Acetylchitosamine', '2-Acetamido-2-deoxy-D-glucose', 'GlcNAc']]",[['N-Acetyl-D-glucosamine 6-phosphate']],"[['NAGK, nagK', 'N-acetylglucosamine kinase']]"
rnR05199,['protein-N(pi)-phosphohistidine:N-acetyl-D-glucosamine 6-phosphotransferase'],"[['N-Acetyl-D-glucosamine', 'N-Acetylchitosamine', '2-Acetamido-2-deoxy-D-glucose', 'GlcNAc']]",[['N-Acetyl-D-glucosamine 6-phosphate']],"[['crr', 'sugar PTS system EIIA component']]"
rnR08193,"['N-acetyl-D-glucosamine 1-phosphate 1,6-phosphomutase']",[['N-Acetyl-D-glucosamine 6-phosphate']],[['N-Acetyl-alpha-D-glucosamine 1-phosphate']],"[['PGM3', 'phosphoacetylglucosamine mutase']]"
rnR00416,['UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase'],[['N-Acetyl-alpha-D-glucosamine 1-phosphate']],"[['UDP-N-acetyl-alpha-D-glucosamine', 'UDP-N-acetyl-D-glucosamine', 'UDP-N-acetylglucosamine']]","[['UAP1', 'UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase']]"
rnR02705,['ATP:N-acyl-D-mannosamine 6-phosphotransferase'],"[['N-Acetyl-D-mannosamine', '2-Acetamido-2-deoxy-D-mannose']]","[['N-Acetyl-D-mannosamine 6-phosphate', 'N-Acetylmannosamine 6-phosphate']]","[['nanK', 'N-acylmannosamine kinase']]"
rnR00955,['UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase'],"[['alpha-D-Galactose 1-phosphate', 'alpha-D-Galactopyranose 1-phosphate']]","[['UDP-alpha-D-galactose', 'UDP-D-galactose', 'UDP-galactose', 'UDP-D-galactopyranose', 'UDP-alpha-D-galactopyranose']]","[['galT, GALT', 'UDPglucose--hexose-1-phosphate uridylyltransferase']]"
rnR00291,"['UDP-glucose 4-epimerase', 'UDP-alpha-D-glucose 4-epimerase']","[['UDP-glucose', 'UDPglucose', 'UDP-D-glucose', 'Uridine diphosphate glucose', 'UDP-alpha-D-glucose']]","[['UDP-alpha-D-galactose', 'UDP-D-galactose', 'UDP-galactose', 'UDP-D-galactopyranose', 'UDP-alpha-D-galactopyranose']]","[['galE, GALE', 'UDP-glucose 4-epimerase']]"
