id,name,reactants,products,modifiers
rnR05636,['1-deoxy-D-xylulose-5-phosphate pyruvate-lyase (carboxylating)'],"[['D-Glyceraldehyde 3-phosphate', '(2R)-2-Hydroxy-3-(phosphonooxy)-propanal', 'Glyceraldehyde 3-phosphate'], ['Pyruvate', 'Pyruvic acid', '2-Oxopropanoate', '2-Oxopropanoic acid', 'Pyroracemic acid']]",[['1-Deoxy-D-xylulose 5-phosphate']],"[['dxs', '1-deoxy-D-xylulose-5-phosphate synthase']]"
rnR05688,['1-deoxy-D-xylulose-5-phosphate isomeroreductase'],[['1-Deoxy-D-xylulose 5-phosphate']],[['2-C-Methyl-D-erythritol 4-phosphate']],"[['dxr', '1-deoxy-D-xylulose-5-phosphate reductoisomerase']]"
rnR05633,['CTP: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase'],[['2-C-Methyl-D-erythritol 4-phosphate']],"[[""4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol""]]","[['ispD', '2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase']]"
rnR05634,"[""ATP:4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol 2-phosphotransferase""]","[[""4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol""]]","[[""2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol""]]","[['ispE', '4-diphosphocytidyl-2-C-methyl-D-erythritol kinase']]"
rnR05637,"[""2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol CMP-lyase (cyclizing)""]","[[""2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol""]]","[['2-C-Methyl-D-erythritol 2,4-cyclodiphosphate', '3-Methyl-1,2,3,4-tetrahydroxybutane-1,3-cyclic bisphosphate']]","[['ispF', '2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase']]"
rnR08689,['(E)-4-hydroxy-3-methylbut-2-en-1-yl-diphosphate:oxidized ferredoxin oxidoreductase (hydrating)'],"[['2-C-Methyl-D-erythritol 2,4-cyclodiphosphate', '3-Methyl-1,2,3,4-tetrahydroxybutane-1,3-cyclic bisphosphate']]","[['1-Hydroxy-2-methyl-2-butenyl 4-diphosphate', '(E)-4-Hydroxy-3-methyl-but-2-enyl diphosphate', '(E)-4-Hydroxy-3-methylbut-2-en-1-yl diphosphate']]","[['gcpE, ispG', '(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase']]"
rnR10859,['(E)-4-hydroxy-3-methylbut-2-en-1-yl-diphosphate:oxidized flavodoxin oxidoreductase'],"[['2-C-Methyl-D-erythritol 2,4-cyclodiphosphate', '3-Methyl-1,2,3,4-tetrahydroxybutane-1,3-cyclic bisphosphate']]","[['1-Hydroxy-2-methyl-2-butenyl 4-diphosphate', '(E)-4-Hydroxy-3-methyl-but-2-enyl diphosphate', '(E)-4-Hydroxy-3-methylbut-2-en-1-yl diphosphate']]","[['gcpE, ispG', '(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase']]"
rnR08210,['dimethylallyl diphosphate:ferredoxin oxidoreductase'],"[['1-Hydroxy-2-methyl-2-butenyl 4-diphosphate', '(E)-4-Hydroxy-3-methyl-but-2-enyl diphosphate', '(E)-4-Hydroxy-3-methylbut-2-en-1-yl diphosphate']]","[['Dimethylallyl diphosphate', '2-Isopentenyl diphosphate', 'Delta2-Isopentenyl diphosphate', 'Dimethylallyl pyrophosphate', 'DMAPP', 'Monoprenyl diphosphate', 'Prenyl diphosphate']]","[['ispH, lytB', '4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase']]"
rnR05884,['isopentenyl-diphosphate:ferredoxin oxidoreductase'],"[['1-Hydroxy-2-methyl-2-butenyl 4-diphosphate', '(E)-4-Hydroxy-3-methyl-but-2-enyl diphosphate', '(E)-4-Hydroxy-3-methylbut-2-en-1-yl diphosphate']]","[['Isopentenyl diphosphate', 'Delta3-Isopentenyl diphosphate', 'Delta3-Methyl-3-butenyl diphosphate', '3-Methylbut-3-en-1-yl diphosphate']]","[['ispH, lytB', '4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase']]"
rnR00238,['acetyl-CoA:acetyl-CoA C-acetyltransferase'],"[['Acetyl-CoA', 'Acetyl coenzyme A']]","[['Acetoacetyl-CoA', 'Acetoacetyl coenzyme A', '3-Acetoacetyl-CoA']]","[['ACAT, atoB', 'acetyl-CoA C-acetyltransferase']]"
rnR01978,"['acetyl-CoA:acetoacetyl-CoA C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)']","[['Acetoacetyl-CoA', 'Acetoacetyl coenzyme A', '3-Acetoacetyl-CoA'], ['Acetyl-CoA', 'Acetyl coenzyme A']]","[['(S)-3-Hydroxy-3-methylglutaryl-CoA', 'Hydroxymethylglutaryl-CoA', 'Hydroxymethylglutaroyl coenzyme A', 'HMG-CoA', '3-Hydroxy-3-methylglutaryl-CoA']]","[['HMGCS', 'hydroxymethylglutaryl-CoA synthase']]"
rnR02082,['(R)-mevalonate:NADP+ oxidoreductase (CoA acylating)'],"[['(S)-3-Hydroxy-3-methylglutaryl-CoA', 'Hydroxymethylglutaryl-CoA', 'Hydroxymethylglutaroyl coenzyme A', 'HMG-CoA', '3-Hydroxy-3-methylglutaryl-CoA']]","[['(R)-Mevalonate', 'Mevalonic acid', '3,5-Dihydroxy-3-methylvaleric acid', '(3R)-3,5-Dihydroxy-3-methylpentanoic acid', '(R)-Mevalonic acid']]","[['HMGCR', 'hydroxymethylglutaryl-CoA reductase (NADPH)']]"
rnR02081,['(R)-mevalonate:NAD+ oxidoreductase (CoA-acetylating)'],"[['(R)-Mevalonate', 'Mevalonic acid', '3,5-Dihydroxy-3-methylvaleric acid', '(3R)-3,5-Dihydroxy-3-methylpentanoic acid', '(R)-Mevalonic acid']]","[['(S)-3-Hydroxy-3-methylglutaryl-CoA', 'Hydroxymethylglutaryl-CoA', 'Hydroxymethylglutaroyl coenzyme A', 'HMG-CoA', '3-Hydroxy-3-methylglutaryl-CoA']]","[['mvaA', 'hydroxymethylglutaryl-CoA reductase']]"
rnR02245,['ATP:(R)-mevalonate 5-phosphotransferase'],"[['(R)-Mevalonate', 'Mevalonic acid', '3,5-Dihydroxy-3-methylvaleric acid', '(3R)-3,5-Dihydroxy-3-methylpentanoic acid', '(R)-Mevalonic acid']]","[['(R)-5-Phosphomevalonate', '(R)-5-Phosphomevalonic acid', '(R)-Mevalonic acid 5-phosphate']]","[['MVK, mvaK1', 'mevalonate kinase']]"
rnR03245,['ATP:(R)-5-phosphomevalonate phosphotransferase'],"[['(R)-5-Phosphomevalonate', '(R)-5-Phosphomevalonic acid', '(R)-Mevalonic acid 5-phosphate']]","[['(R)-5-Diphosphomevalonate', '(R)-5-Diphosphomevalonic acid']]","[['E2.7.4.2, mvaK2', 'phosphomevalonate kinase']]"
rnR01121,"['ATP:(R)-5-diphosphomevalonate carboxy-lyase (adding ATP', 'isopentenyl-diphosphate-forming)', 'ATP:(R)-5-diphosphomevalonate carboxy-lyase (dehydrating)']","[['(R)-5-Diphosphomevalonate', '(R)-5-Diphosphomevalonic acid']]","[['Isopentenyl diphosphate', 'Delta3-Isopentenyl diphosphate', 'Delta3-Methyl-3-butenyl diphosphate', '3-Methylbut-3-en-1-yl diphosphate']]","[['MVD, mvaD', 'diphosphomevalonate decarboxylase']]"
rnR10561,"['ATP:phosphomevalonate carboxy-lyase (adding ATP', 'isopentenyl-phosphate-forming)']","[['(R)-5-Phosphomevalonate', '(R)-5-Phosphomevalonic acid', '(R)-Mevalonic acid 5-phosphate']]","[['Isopentenyl phosphate', '3-Methylbut-3-en-1-yl phosphate']]","[['pmd', 'phosphomevalonate decarboxylase']]"
rnR10093,['ATP:isopentenyl phosphate phosphotransferase'],"[['Isopentenyl phosphate', '3-Methylbut-3-en-1-yl phosphate']]","[['Isopentenyl diphosphate', 'Delta3-Isopentenyl diphosphate', 'Delta3-Methyl-3-butenyl diphosphate', '3-Methylbut-3-en-1-yl diphosphate']]","[['ipk', 'isopentenyl phosphate kinase']]"
rnR12894,['(R)-5-phosphomevalonate hydro-lyase'],"[['(R)-5-Phosphomevalonate', '(R)-5-Phosphomevalonic acid', '(R)-Mevalonic acid 5-phosphate']]","[['trans-Anhydromevalonate 5-phosphate', 'trans-Anhydromevalonate phosphate', 'tAHMP', '(2E)-3-Methyl-5-phosphooxypent-2-enoate']]","[['acnX1', 'phosphomecalonate degydratase large subunit']]"
rnR12895,"['trans-anhydromevalonate 5-phosphate carboxy-lyase', '(2E)-3-methyl-5-phosphooxypent-2-enoate carboxy-lyase']","[['trans-Anhydromevalonate 5-phosphate', 'trans-Anhydromevalonate phosphate', 'tAHMP', '(2E)-3-Methyl-5-phosphooxypent-2-enoate']]","[['Isopentenyl phosphate', '3-Methylbut-3-en-1-yl phosphate']]","[['E4.1.1.126', 'anhydromevalonate phosphate decarboxylase']]"
rnR10779,['ATP:(R)-mevalonate 3-phosphotransferase'],"[['(R)-Mevalonate', 'Mevalonic acid', '3,5-Dihydroxy-3-methylvaleric acid', '(3R)-3,5-Dihydroxy-3-methylpentanoic acid', '(R)-Mevalonic acid']]","[['(R)-Mevalonate 3-phosphate', '(R)-3-Phosphomevalonate']]","[['E2.7.1.185', 'mevalonate-3-kinase']]"
rnR10780,['ATP:(R)-3-phosphomevalonate 5-phosphotransferase'],"[['(R)-Mevalonate 3-phosphate', '(R)-3-Phosphomevalonate']]","[['(R)-Mevalonate 3,5-bisphosphate', '(R)-3,5-Diphosphomevalonate', '(R)-3,5-Bisphosphomevalonate']]","[['E2.7.1.186', 'mevalonate-3-phosphate-5-kinase']]"
rnR10781,"['(R)-3,5-bisphosphomevalonate carboxy-lyase (isopentenyl-phosphate-forming)']","[['(R)-Mevalonate 3,5-bisphosphate', '(R)-3,5-Diphosphomevalonate', '(R)-3,5-Bisphosphomevalonate']]","[['Isopentenyl phosphate', '3-Methylbut-3-en-1-yl phosphate']]","[['E4.1.1.110', 'bisphosphomevalonate decarboxylase']]"
rnR01123,['isopentenyl-diphosphate Delta3-Delta2-isomerase'],"[['Isopentenyl diphosphate', 'Delta3-Isopentenyl diphosphate', 'Delta3-Methyl-3-butenyl diphosphate', '3-Methylbut-3-en-1-yl diphosphate']]","[['Dimethylallyl diphosphate', '2-Isopentenyl diphosphate', 'Delta2-Isopentenyl diphosphate', 'Dimethylallyl pyrophosphate', 'DMAPP', 'Monoprenyl diphosphate', 'Prenyl diphosphate']]","[['idi, IDI', 'isopentenyl-diphosphate Delta-isomerase']]"
rnR01658,['dimethylallyl-diphosphate:isopentenyl-diphosphate dimethylallyltranstransferase'],"[['Dimethylallyl diphosphate', '2-Isopentenyl diphosphate', 'Delta2-Isopentenyl diphosphate', 'Dimethylallyl pyrophosphate', 'DMAPP', 'Monoprenyl diphosphate', 'Prenyl diphosphate'], ['Isopentenyl diphosphate', 'Delta3-Isopentenyl diphosphate', 'Delta3-Methyl-3-butenyl diphosphate', '3-Methylbut-3-en-1-yl diphosphate']]",[['Geranyl diphosphate']],"[['FDPS', 'farnesyl diphosphate synthase']]"
rnR02003,['geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase'],"[['Geranyl diphosphate'], ['Isopentenyl diphosphate', 'Delta3-Isopentenyl diphosphate', 'Delta3-Methyl-3-butenyl diphosphate', '3-Methylbut-3-en-1-yl diphosphate']]","[['trans,trans-Farnesyl diphosphate', 'Farnesyl diphosphate', 'Farnesyl pyrophosphate', '2-trans,6-trans-Farnesyl diphosphate', '(2E,6E)-Farnesyl diphosphate']]","[['FDPS', 'farnesyl diphosphate synthase']]"
rnR02061,"['trans,trans-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase']","[['trans,trans-Farnesyl diphosphate', 'Farnesyl diphosphate', 'Farnesyl pyrophosphate', '2-trans,6-trans-Farnesyl diphosphate', '(2E,6E)-Farnesyl diphosphate'], ['Isopentenyl diphosphate', 'Delta3-Isopentenyl diphosphate', 'Delta3-Methyl-3-butenyl diphosphate', '3-Methylbut-3-en-1-yl diphosphate']]","[['Geranylgeranyl diphosphate', 'Geranylgeranyl pyrophosphate', 'all-trans-Geranylgeranyl diphosphate', 'all-trans-Geranylgeranyl pyrophosphate', '(2E,6E,10E)-3,7,11,15-Tetramethylhexadeca-2,6,10,14-tetraen-1-yl diphosphate']]","[['GGPS1', 'geranylgeranyl diphosphate synthase, type III']]"
rnR08528,['Z-farnesyl diphosphate synthase'],"[['Geranyl diphosphate'], ['Isopentenyl diphosphate', 'Delta3-Isopentenyl diphosphate', 'Delta3-Methyl-3-butenyl diphosphate', '3-Methylbut-3-en-1-yl diphosphate']]","[['2-cis,6-trans-Farnesyl diphosphate', '(2Z,6E)-Farnesyl diphosphate']]","[['uppS', 'short-chain Z-isoprenyl diphosphate synthase']]"
