id,name,reactants,products,modifiers
rnR05932,[],[['(Gal)2 (GalNAc)1 (GlcA)2 (Xyl)1 (Ser)1']],[['(Gal)2 (GalNAc)2 (GlcA)2 (Xyl)1 (Ser)1']],"[['CHSY', 'chondroitin sulfate synthase']]"
rnR05931,[],[['(Gal)2 (GalNAc)1 (GlcA)1 (Xyl)1 (Ser)1']],[['(Gal)2 (GalNAc)1 (GlcA)2 (Xyl)1 (Ser)1']],"[['CHSY', 'chondroitin sulfate synthase']]"
rnR05929,[],[['(Gal)2 (GlcA)1 (Xyl)1 (Ser)1']],[['(Gal)2 (GalNAc)1 (GlcA)1 (Xyl)1 (Ser)1']],"[['CSGALNACT1_2', 'chondroitin sulfate N-acetylgalactosaminyltransferase 1/2']]"
rnR05928,[],[['(Gal)2 (Xyl)1 (Ser)1']],[['(Gal)2 (GlcA)1 (Xyl)1 (Ser)1']],"[['B3GAT3', 'galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3']]"
rnR05925,[],"[['[Protein]-L-serine', 'Protein serine', 'Protein L-serine']]",[['(Xyl)1 (Ser)1']],"[['XYLT', 'protein xylosyltransferase']]"
rnR05926,[],[['(Xyl)1 (Ser)1']],[['(Gal)1 (Xyl)1 (Ser)1']],"[['B4GALT7', 'xylosylprotein 4-beta-galactosyltransferase']]"
rnR05927,[],[['(Gal)1 (Xyl)1 (Ser)1']],[['(Gal)2 (Xyl)1 (Ser)1']],"[['B3GALT6', 'galactosylxylosylprotein 3-beta-galactosyltransferase']]"
rnR04104,['chondroitin-D-glucuronate 5-epimerase'],"[['Chondroitin', 'Chondroitin-D-glucuronate']]","[['Dermatan', 'Dermatan L-iduronate']]","[['DSE', 'chondroitin-glucuronate 5-epimerase']]"
