id,name,reactants,products,modifiers
rnR01505,"['2,3-dihydro-2,3-dihydroxybenzoate:NAD+ oxidoreductase']","[['(2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate', '(2S,3S)-2,3-Dihydroxy-2,3-dihydroxybenzoate']]","[['2,3-Dihydroxybenzoate', '2,3-Dihydroxybenzoic acid']]","[['entA', '2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase']]"
rnR06602,['isochorismate pyruvate-lyase (salicylate-forming)'],"[['Isochorismate', 'Isochorismic acid']]","[['Salicylate', 'o-Hydroxybenzoic acid', 'Salicylic acid']]","[['pchB', 'isochorismate pyruvate lyase']]"
rnR01717,['chorismate hydroxymutase'],"[['Chorismate', 'Chorismic acid', '(3R,4R)-3-[(1-Carboxyethenyl)oxy]-4-hydroxycyclohexa-1,5-diene-1-carboxylate']]","[['Isochorismate', 'Isochorismic acid']]","[['pchA', 'salicylate biosynthesis isochorismate synthase']]"
rnR03037,['isochorismate pyruvate-hydrolase'],"[['Isochorismate', 'Isochorismic acid']]","[['(2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate', '(2S,3S)-2,3-Dihydroxy-2,3-dihydroxybenzoate']]","[['entB, dhbB, vibB, mxcF', 'bifunctional isochorismate lyase / aryl carrier protein']]"
rnR07644,"['2,3-dihydroxybenzoate:L-serine ligase']","[['2,3-Dihydroxybenzoate', '2,3-Dihydroxybenzoic acid']]","[['Enterochelin', 'Enterobactin', 'Tri-(2,3-dihydroxy-N-benzoyl-L-serine)-ester', 'Tri-(N-(2,3-dihydroxybenzoyl)-L-serine)-ester']]","[['entD, pptT', 'enterobactin synthetase component D / holo-[acyl-carrier protein] synthase']]"
rnR12596,[],"[['Citrate', 'Citric acid', '2-Hydroxy-1,2,3-propanetricarboxylic acid', '2-Hydroxytricarballylic acid'], ['Spermidine', 'N-(3-Aminopropyl)-1,4-butane-diamine']]",[['N-Citryl-spermidine']],"[['asbA', 'spermidine-citrate ligase']]"
rnR12601,[],"[[""N1-(3,4-Dihydroxybenzoyl)-N8,N'8-citryl-bis(spermidine)""]]",[['Petrobactin']],"[['asbE', 'petrobactin synthase']]"
rnR12600,[],"[[""N8,N'8-Citryl-bis(spermidine)""]]","[[""N1-(3,4-Dihydroxybenzoyl)-N8,N'8-citryl-bis(spermidine)""]]","[['asbE', 'petrobactin synthase']]"
rnR12599,[],"[['N1-(3,4-Dihydroxybenzoyl)-N8-citryl spermidine', '3,4-Dihydroxybenzoyl-citryl-spermidine']]","[[""N1-(3,4-Dihydroxybenzoyl)-N8,N'8-citryl-bis(spermidine)""]]","[['asbB', '3,4-dihydroxybenzoyl-citryl-spermidine/N-citryl-spermidine--spermidine ligase']]"
rnR12598,[],[['N-Citryl-spermidine']],"[[""N8,N'8-Citryl-bis(spermidine)""]]","[['asbB', '3,4-dihydroxybenzoyl-citryl-spermidine/N-citryl-spermidine--spermidine ligase']]"
rnR12597,[],"[['N-Citryl-spermidine'], ['3,4-Dihydroxybenzoyl-[aryl-carrier protein]', '3,4-Dihydroxybenzoyl-[acp]']]","[['N1-(3,4-Dihydroxybenzoyl)-N8-citryl spermidine', '3,4-Dihydroxybenzoyl-citryl-spermidine']]","[['asbE', 'petrobactin synthase']]"
rnR12577,[],"[['(3,4-Dihydroxybenzoyl)adenylate']]","[['3,4-Dihydroxybenzoyl-[aryl-carrier protein]', '3,4-Dihydroxybenzoyl-[acp]']]","[['asbC', '3,4-dihydroxybenzoate---[aryl-carrier protein] ligase']]"
rnR12576,[],"[['3,4-Dihydroxybenzoate', '3,4-Dihydroxybenzoic acid', 'Protocatechuate', 'Protocatechuic acid']]","[['(3,4-Dihydroxybenzoyl)adenylate']]","[['asbC', '3,4-dihydroxybenzoate---[aryl-carrier protein] ligase']]"
rnR01627,['3-dehydroshikimate hydro-lyase'],[['3-Dehydroshikimate']],"[['3,4-Dihydroxybenzoate', '3,4-Dihydroxybenzoic acid', 'Protocatechuate', 'Protocatechuic acid']]","[['asbF', '3-dehydroshikimate dehydratase']]"
