id,name,reactants,products,modifiers
rnR05687,['dTDP-4-keto-6-deoxyglucose reductase'],"[['dTDP-4-oxo-6-deoxy-D-glucose', 'dTDP-4-dehydro-6-deoxy-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose', 'dTDP-4-oxo-6-deoxy-alpha-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-galactose', 'dTDP-4-dehydro-6-deoxy-D-galactose', 'dTDP-6-deoxy-D-xylo-hexos-4-ulose', 'dTDP-6-deoxy-D-xylo-4-hexulose', '4,6-Dideoxy-4-oxo-dTDP-D-glucose']]","[['dTDP-D-fucose', 'dTDP-alpha-D-fucopyranose']]","[['fcd', 'dTDP-4-dehydro-6-deoxyglucose reductase']]"
rnR02777,"['dTDP-beta-L-rhamnose:NADP+ 4-oxidoreductase', 'dTDP-6-deoxy-L-mannose:NADP+ 4-oxidoreductase']","[['dTDP-4-dehydro-beta-L-rhamnose', 'dTDP-4-dehydro-6-deoxy-beta-L-mannose', 'dTDP-4-oxo-6-deoxy-L-mannose', 'dTDP-4-oxo-L-rhamnose']]","[['dTDP-L-rhamnose', 'dTDP-6-deoxy-L-mannose', 'dTDP-6-deoxy-beta-L-mannose', 'dTDP-beta-L-rhamnose']]","[['rfbD, rmlD', 'dTDP-4-dehydrorhamnose reductase']]"
rnR11047,[],"[['dTDP-3-N,N-dimethylamino-4-oxo-2,3,6-trideoxy-L-allose', 'dTDP-3-N,N-dimethylamino-4-keto-2,3,6-trideoxy-L-allose']]",[['dTDP-L-megosamine']],"[['megDV', 'dTDP-4-keto-6-deoxyhexose 4-ketoreductase']]"
rnR11045,"['S-adenosyl-L-methionine:dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose 3-N,N-dimethyltransferase']","[['dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose', 'dTDP-3-amino-2,3,6-trideoxy-D-threo-hexopyranos-4-ulose', 'dTDP-3-amino-4-oxo-2,3,6-trideoxy-D-glucose']]","[['dTDP-3-N,N-dimethylamino-2,3,6-trideoxy-4-keto-D-glucose', 'dTDP-3-N,N-dimethylamino-4-oxo-2,3,6-trideoxy-D-glucose']]","[['megDIII', 'dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase']]"
rnR06439,"['S-adenosyl-L-methionine:dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose 3-N,N-dimethyltransferase']","[['dTDP-3-amino-3,6-dideoxy-D-glucose']]","[['dTDP-D-mycaminose', 'dTDP-alpha-D-mycaminose']]","[['tylMI', 'dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose N,N-dimethyltransferase']]"
rnR06514,"['dTDP-4-dehydro-6-deoxy-alpha-D-glucose 3,5-epimerase', 'dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase']","[['dTDP-4-oxo-6-deoxy-D-glucose', 'dTDP-4-dehydro-6-deoxy-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose', 'dTDP-4-oxo-6-deoxy-alpha-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-galactose', 'dTDP-4-dehydro-6-deoxy-D-galactose', 'dTDP-6-deoxy-D-xylo-hexos-4-ulose', 'dTDP-6-deoxy-D-xylo-4-hexulose', '4,6-Dideoxy-4-oxo-dTDP-D-glucose']]","[['dTDP-4-dehydro-beta-L-rhamnose', 'dTDP-4-dehydro-6-deoxy-beta-L-mannose', 'dTDP-4-oxo-6-deoxy-L-mannose', 'dTDP-4-oxo-L-rhamnose']]","[['rfbC, rmlC', 'dTDP-4-dehydrorhamnose 3,5-epimerase']]"
rnR11046,"['dTDP-3-N,N-dimethylamino-2,3,6-trideoxy-4-keto-D-glucose 5-epimerase']","[['dTDP-3-N,N-dimethylamino-2,3,6-trideoxy-4-keto-D-glucose', 'dTDP-3-N,N-dimethylamino-4-oxo-2,3,6-trideoxy-D-glucose']]","[['dTDP-3-N,N-dimethylamino-4-oxo-2,3,6-trideoxy-L-allose', 'dTDP-3-N,N-dimethylamino-4-keto-2,3,6-trideoxy-L-allose']]","[['evaD, eryBVII, aveBV, megDIV, staE', '5-epimerase']]"
rnR06513,"['dTDPglucose 4,6-hydro-lyase']","[['dTDP-glucose', 'dTDP-D-glucose', 'dTDP-alpha-D-glucose']]","[['dTDP-4-oxo-6-deoxy-D-glucose', 'dTDP-4-dehydro-6-deoxy-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose', 'dTDP-4-oxo-6-deoxy-alpha-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-galactose', 'dTDP-4-dehydro-6-deoxy-D-galactose', 'dTDP-6-deoxy-D-xylo-hexos-4-ulose', 'dTDP-6-deoxy-D-xylo-4-hexulose', '4,6-Dideoxy-4-oxo-dTDP-D-glucose']]","[['rfbB, rmlB, rffG', 'dTDP-glucose 4,6-dehydratase']]"
rnR02328,['dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase'],"[['D-Glucose 1-phosphate', 'alpha-D-Glucose 1-phosphate', 'Cori ester', 'D-Glucose alpha-1-phosphate']]","[['dTDP-glucose', 'dTDP-D-glucose', 'dTDP-alpha-D-glucose']]","[['rfbA, rmlA, rffH', 'glucose-1-phosphate thymidylyltransferase']]"
rnR06631,"['dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose:2-oxoglutarate aminotransferase']","[['dTDP-3,4-dioxo-2,6-dideoxy-D-glucose', 'dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose']]","[['dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose', 'dTDP-3-amino-2,3,6-trideoxy-D-threo-hexopyranos-4-ulose', 'dTDP-3-amino-4-oxo-2,3,6-trideoxy-D-glucose']]","[['desV, eryCI', 'dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase']]"
rnR05518,"['dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose hydro-lyase (dTDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose-forming)']","[['dTDP-4-oxo-6-deoxy-D-glucose', 'dTDP-4-dehydro-6-deoxy-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose', 'dTDP-4-oxo-6-deoxy-alpha-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-galactose', 'dTDP-4-dehydro-6-deoxy-D-galactose', 'dTDP-6-deoxy-D-xylo-hexos-4-ulose', 'dTDP-6-deoxy-D-xylo-4-hexulose', '4,6-Dideoxy-4-oxo-dTDP-D-glucose']]","[['dTDP-3,4-dioxo-2,6-dideoxy-D-glucose', 'dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose']]","[['evaA, eryBVI, tylCVI, tylX3, staJ', 'dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase']]"
rnR06423,"['dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose:2-oxoglutarate aminotransferase']","[['3,6-Dideoxy-3-oxo-dTDP-D-glucose', 'dTDP-3-oxo-6-deoxy-D-glucose', 'dTDP-3-oxo-6-deoxy-alpha-D-glucose', 'dTDP-3-dehydro-6-deoxy-alpha-D-glucopyranose', 'dTDP-6-deoxy-D-ribo-hexos-3-ulose']]","[['dTDP-3-amino-3,6-dideoxy-D-glucose']]","[['tylB', 'dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose transaminase']]"
rnR02773,"['dTDP-4-amino-4,6-dideoxy-D-glucose:2-oxoglutarate aminotransferase']","[['dTDP-4-oxo-6-deoxy-D-glucose', 'dTDP-4-dehydro-6-deoxy-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose', 'dTDP-4-oxo-6-deoxy-alpha-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-galactose', 'dTDP-4-dehydro-6-deoxy-D-galactose', 'dTDP-6-deoxy-D-xylo-hexos-4-ulose', 'dTDP-6-deoxy-D-xylo-4-hexulose', '4,6-Dideoxy-4-oxo-dTDP-D-glucose']]","[['dTDP-4-amino-4,6-dideoxy-D-glucose', 'dTDP-4-amino-4,6-dideoxy-alpha-D-glucose', 'dTDP-viosamine', 'dTDP-4-amino-4,6-dideoxy-alpha-D-glucopyranose']]","[['desI, eryCIV', 'dTDP-4-amino-4,6-dideoxy-D-glucose transaminase']]"
rnR08930,"['dTDP-4-dehydro-2,6-dideoxy-alpha-D-glucose hydro-lyase (dTDP-2,3,6-trideoxy-alpha-D-hexopyranose-forming)']","[['dTDP-4-oxo-2,6-dideoxy-D-glucose', 'dTDP-4-oxo-2,6-dideoxy-alpha-D-glucose', 'dTDP-4-dehydro-2,6-dideoxy-alpha-D-glucose', 'dTDP-4-keto-2,6-dideoxy-D-glucose']]","[['dTDP-4-oxo-2,3,6-trideoxy-D-glucose', 'dTDP-[(2R,6R)-tetrahydro-6-methyl-5-oxo-2H-pyran-2-yl] ester', 'dTDP-4-dehydro-2,3,6-trideoxy-alpha-D-hexopyranose']]","[['spnQ', 'dTDP-4-dehydro-2,6-dideoxy-D-glucose 3-dehydratase']]"
rnR08932,"['S-adenosyl-L-methionine:dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose N,N-dimethyltransferase']","[['dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose', 'dTDP-[(2R,5S,6R)-5-aminotetrahydro-6-methyl-2H-pyran-2-yl] ester', 'dTDP-4-amino-2,3,4,6-tetradeoxy-alpha-D-erythro-hexopyranose']]","[['dTDP-D-forosamine', 'dTDP-alpha-D-forosamine', 'dTDP-[(2R,5S,6R)-5-(dimethylamino)tetrahydro-6-methyl-2H-pyran-2-yl] ester', 'dTDP-4-(dimethylamino)-2,3,4,6-tetradeoxy-alpha-D-erythro-hexopyranose']]","[['spnS', 'dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose N,N-dimethyltransferase']]"
