id,name,reactants,products,modifiers
rnR04126,['ATP:1-O-alkyl-sn-glycerol 3-phosphotransferase'],"[['1-Alkyl-sn-glycerol', '1-O-Alkyl-sn-glycerol']]","[['1-Alkyl-sn-glycero-3-phosphate', '1-Alkyl-sn-glycerol 3-phosphate', '1-O-Alkyl-sn-glycerol 3-phosphate']]","[['alkylglycerol kinase', '1-alkylglycerol kinase (phosphorylating)', 'ATP-alkylglycerol phosphotransferase', 'alkylglycerol phosphotransferase', 'ATP: 1-alkyl-sn-glycerol phosphotransferase']]"
rnR04311,['1-acyl-glycerone-3-phosphate:long-chain-alcohol O-3-phospho-2-oxopropanyltransferase'],"[['Acylglycerone phosphate', 'Dihydroxyacetone phosphate acyl ester', '1-Acyl-glycerone 3-phosphate']]","[['O-Alkylglycerone phosphate', 'Alkyl-glycerone 3-phosphate', 'Dihydroxyacetone phosphate alkyl ether']]","[['alkylglycerone-phosphate synthase', 'alkyldihydroxyacetonephosphate synthase', 'alkyldihydroxyacetone phosphate synthetase', 'alkyl DHAP synthetase', 'alkyl-DHAP', 'dihydroxyacetone-phosphate acyltransferase (ambiguous)', 'DHAP-AT']]"
rnR04452,['1-alkyl-2-acetyl-sn-glycero-3-phosphocholine acetohydrolase'],"[['2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine', 'Platelet-activating factor', 'PAF']]","[['1-Organyl-2-lyso-sn-glycero-3-phosphocholine', '1-Radyl-2-lyso-sn-glycero-3-phosphocholine', '1-Alkyl-2-lyso-sn-glycero-3-phosphocholine', '1-Alkyl-sn-glycero-3-phosphocholine']]","[['1-alkyl-2-acetylglycerophosphocholine esterase', '1-alkyl-2-acetyl-sn-glycero-3-phosphocholine acetylhydrolase', 'alkylacetyl-GPC:acetylhydrolase']]"
rnR04363,['acyl-CoA:1-O-alkyl-2-acetyl-sn-glycerol O-acyltransferase'],"[['1-Alkyl-2-acetyl-sn-glycerol', '2-Acetyl-1-alkyl-sn-glycerol', '1-O-Alkyl-2-acetyl-sn-glycerol']]","[['1-O-Alkyl-2-acetyl-3-acyl-sn-glycerol', '2-Acetyl-1-O-alkyl-3-acyl-sn-glycerol']]","[['1-alkyl-2-acetylglycerol O-acyltransferase', '1-hexadecyl-2-acetylglycerol acyltransferase']]"
rnR04321,['CDP-choline:1-alkyl-2-acetylglycerol cholinephosphotransferase'],"[['1-Alkyl-2-acetyl-sn-glycerol', '2-Acetyl-1-alkyl-sn-glycerol', '1-O-Alkyl-2-acetyl-sn-glycerol']]","[['2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine', 'Platelet-activating factor', 'PAF']]","[['diacylglycerol cholinephosphotransferase', 'phosphorylcholine-glyceride transferase', 'alkylacylglycerol cholinephosphotransferase', '1-alkyl-2-acetylglycerol cholinephosphotransferase', 'cholinephosphotransferase', 'CPT (ambiguous)', 'alkylacylglycerol choline phosphotransferase', 'diacylglycerol choline phosphotransferase', '1-alkyl-2-acetyl-m-glycerol:CDPcholine choline phosphotransferase', 'CDP-choline diglyceride phosphotransferase', 'cytidine diphosphocholine glyceride transferase', 'cytidine diphosphorylcholine diglyceride transferase', 'phosphocholine diacylglyceroltransferase', 'sn-1,2-diacylglycerol cholinephosphotransferase', '1-alkyl-2-acetyl-sn-glycerol cholinephosphotransferase', 'CDP choline:1,2-diacylglycerol cholinephosphotransferase', 'CDP-choline:1,2-diacylglycerol cholinephosphotransferase']]"
rnR04571,"['plasmanylethanolamine,ferrocytochrome b5:oxygen oxidoreductase (plasmenylethanolamine-forming)']","[['1-Alkyl-2-acylglycerophosphoethanolamine', '1-Radyl-2-acyl-sn-glycero-3-phosphoethanolamine', '1-Organyl-2-acyl-sn-glycero-3-phosphoethanolamine', 'O-1-Alkyl-2-acyl-sn-glycero-3-phosphoethanolamine', '2-Acyl-1-alkyl-sn-glycero-3-phosphoethanolamine', 'Plasmanylethanolamine']]","[['O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine', 'Phosphatidalethanolamine', 'Plasmenylethanolamine', 'Ethanolamineplasmalogen', '2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine', '1-Alkenyl-2-acylglycerophosphoethanolamine']]","[['plasmanylethanolamine desaturase', 'TMEM189 (gene name)', '2-acyl-1-alkyl-sn-glycero-3-phosphoethanolamine desaturase', 'alkylacylglycerophosphoethanolamine desaturase', 'alkylacylglycero-phosphorylethanolamine dehydrogenase', 'alkyl-acylglycerophosphorylethanolamine dehydrogenase', '1-O-alkyl-2-acyl-sn-glycero-3-phosphorylethanolamine desaturase', '1-O-alkyl 2-acyl-sn-glycero-3-phosphorylethanolamine desaturase']]"
rnR06364,['CDPethanolamine:1-alkyl-2-acylglycerol ethanolaminephosphotransferase'],"[['1-Alkyl-2-acylglycerol', '2-Acyl-1-alkyl-sn-glycerol']]","[['1-Alkyl-2-acylglycerophosphoethanolamine', '1-Radyl-2-acyl-sn-glycero-3-phosphoethanolamine', '1-Organyl-2-acyl-sn-glycero-3-phosphoethanolamine', 'O-1-Alkyl-2-acyl-sn-glycero-3-phosphoethanolamine', '2-Acyl-1-alkyl-sn-glycero-3-phosphoethanolamine', 'Plasmanylethanolamine']]","[['ethanolaminephosphotransferase', 'EPT', 'diacylglycerol ethanolaminephosphotransferase', 'CDPethanolamine diglyceride phosphotransferase', 'phosphorylethanolamine-glyceride transferase', 'CDP-ethanolamine:1,2-diacylglycerol ethanolaminephosphotransferase']]"
rnR07388,['1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine ethanolaminehydrolase'],"[['1-(1-Alkenyl)-sn-glycero-3-phosphoethanolamine', '1-Alkenylglycerophosphoethanolamine']]",[['1-(1-Alkenyl)-sn-glycero-3-phosphate']],"[['alkylglycerophosphoethanolamine phosphodiesterase', 'lysophospholipase D']]"
rnR07381,['plasmenylethanolamine ethanolamine phosphohydrolase'],"[['O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine', 'Phosphatidalethanolamine', 'Plasmenylethanolamine', 'Ethanolamineplasmalogen', '2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine', '1-Alkenyl-2-acylglycerophosphoethanolamine']]",[['1-Alkenyl-2-acylglycerol']],"[['phospholipase C', 'lipophosphodiesterase I', 'lecithinase C', 'Clostridium welchii alpha-toxin', 'Clostridium oedematiens beta- and gamma-toxins', 'lipophosphodiesterase C', 'phosphatidase C', 'heat-labile hemolysin', 'alpha-toxin']]"
rnR04162,['1-alkyl-2-acyl-sn-glycero-3-phosphate phosphohydrolase'],"[['2-Acyl-1-alkyl-sn-glycero-3-phosphate', '1-Alkyl-2-acyl-sn-glycerol 3-phosphate']]","[['1-Alkyl-2-acylglycerol', '2-Acyl-1-alkyl-sn-glycerol']]","[['phosphatidate phosphatase', 'phosphatic acid phosphatase', 'acid phosphatidyl phosphatase', 'phosphatic acid phosphohydrolase', 'PAP', 'Lipin']]"
