id,name,reactants,products,modifiers
rnR12075,"['UDP-N-acetyl-alpha-D-glucosamine:trans,octacis-decaprenyl-phosphate N-acetylglucosaminephosphotransferase']","[['UDP-N-acetyl-D-glucosamine', 'UDP-N-acetylglucosamine', '(UDP-GlcNAc)1'], ['Decaprenol phosphate', 'mono-trans, poly-cis-Decaprenyl phosphate', 'trans,octacis-Decaprenyl phosphate']]","[['GlcNAc-pyrophosphoryldecaprenol', 'N-Acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol', 'Dec-P-P-GlcNAc', 'Glycolipid 1', 'GL-1', '(GlcNAc)1 (PP-C50)1']]","[['UDP-N-acetylglucosamine---decaprenyl-phosphate N-acetylglucosaminephosphotransferase', 'GlcNAc-1-phosphate transferase', 'UDP-GlcNAc:undecaprenyl phosphate GlcNAc-1-phosphate transferase', 'WecA', 'WecA transferase']]"
rnR12077,"['dTDP-6-deoxy-beta-L-mannose:N-acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol 3-alpha-L-rhamnosyltransferase']","[['dTDP-L-rhamnose', 'dTDP-6-deoxy-L-mannose', 'dTDP-6-deoxy-beta-L-mannose', 'dTDP-beta-L-rhamnose'], ['GlcNAc-pyrophosphoryldecaprenol', 'N-Acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol', 'Dec-P-P-GlcNAc', 'Glycolipid 1', 'GL-1', '(GlcNAc)1 (PP-C50)1']]","[['Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 'Dec-P-P-GlcNAc-Rha', 'Glycolipid 2', 'GL-2', '(GlcNAc)1 (LRha)1 (PP-C50)1']]","[['N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase', 'WbbL']]"
rnR12078,[],"[['UDP-alpha-D-galactofuranose', '(UDP-Galf)1'], ['Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 'Dec-P-P-GlcNAc-Rha', 'Glycolipid 2', 'GL-2', '(GlcNAc)1 (LRha)1 (PP-C50)1']]","[['Glycolipid 3', 'GL-3', '(Galf)1 (GlcNAc)1 (LRha)1 (PP-C50)1']]","[['rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,4/1,5-galactofuranosyltransferase', 'arabinogalactan galactofuranosyl transferase 1', 'GlfT1']]"
rnR12079,[],"[['Glycolipid 3', 'GL-3', '(Galf)1 (GlcNAc)1 (LRha)1 (PP-C50)1']]","[['Glycolipid 4', 'GL-4', '(Galf)2 (GlcNAc)1 (LRha)1 (PP-C50)1']]","[['rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,4/1,5-galactofuranosyltransferase', 'arabinogalactan galactofuranosyl transferase 1', 'GlfT1']]"
rnR12080,[],"[['Glycolipid 4', 'GL-4', '(Galf)2 (GlcNAc)1 (LRha)1 (PP-C50)1']]","[['Glycolipid 5', 'GL-5', '(Galf)3 (GlcNAc)1 (LRha)1 (PP-C50)1']]","[['galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase', 'GlfT2']]"
