id,name,reactants,products,modifiers
rnR07620,[],"[['[Protein]-L-serine', 'Protein serine', 'Protein L-serine'], ['Dolichyl phosphate D-mannose', 'Dolichyl D-mannosyl phosphate', '(Man)1 (P-Dol)1']]",[['(Man)1 (Ser/Thr)1']],"[['dolichyl-phosphate-mannose---protein mannosyltransferase', 'dolichol phosphomannose-protein mannosyltransferase', 'protein O-D-mannosyltransferase', 'dolichyl-phosphate-D-mannose:protein O-D-mannosyltransferase', 'dolichyl-phosphate-mannose-protein mannosyltransferase', 'dolichyl-D-mannosyl-phosphate:protein O-D-mannosyltransferase']]"
rnR11407,[],[['(Man)1 (Ser/Thr)1']],[['(GlcNAc)1 (Man)1 (Ser/Thr)1']],"[['protein O-mannose beta-1,4-N-acetylglucosaminyltransferase', 'GTDC2 (gene name)', 'POMGNT2']]"
rnR12292,[],[['(GlcNAc)1 (Man)1 (Ser/Thr)1']],"[['O-mannose core M3', '(GalNAc)1 (GlcNAc)1 (Man)1 (Ser/Thr)1']]","[['protein O-mannose beta-1,3-N-acetylgalactosaminyltransferase', 'B3GALNT2']]"
rnR12293,[],"[['O-mannose core M3', '(GalNAc)1 (GlcNAc)1 (Man)1 (Ser/Thr)1']]","[['Phospho-core M3', '(GalNAc)1 (GlcNAc)1 (Man)1 (P)1 (Ser/Thr)1']]","[['glycoprotein-mannosyl O6-kinase', 'SGK196', 'protein O-mannose kinase']]"
rnR02921,['CTP:D-ribitol-5-phosphate cytidylyltransferase'],"[['CTP', ""Cytidine 5'-triphosphate"", 'Cytidine triphosphate'], ['D-Ribitol 5-phosphate', 'Ribitol 5-phosphate', 'L-Ribitol 1-phosphate']]","[['CDP-ribitol', 'CDP-L-ribitol', 'CDP 5-ester with D-ribitol']]","[['D-ribitol-5-phosphate cytidylyltransferase', 'CDP ribitol pyrophosphorylase', 'cytidine diphosphate ribitol pyrophosphorylase', 'ribitol 5-phosphate cytidylyltransferase', 'cytidine diphosphoribitol pyrophosphorylase']]"
rnR12244,['UDP-alpha-D-xylose:3-O-[Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-O-6-P-alpha-D-Man]-Ser/Thr-[protein] xylosyltransferase'],[['(GalNAc)1 (GlcNAc)1 (Man)1 (Rib-ol)2 (P)3 (Ser/Thr)1']],[['(GalNAc)1 (GlcNAc)1 (Man)1 (Rib-ol)2 (Xyl)1 (P)3 (Ser/Thr)1']],"[['alpha-dystroglycan beta1,4-xylosyltransferase', 'TMEM5 (gene name)']]"
