id,name,reactants,products,modifiers
rnR07671,[],"[['Ascorbate', 'Ascorbic acid', 'L-Ascorbate', 'L-Ascorbic acid', 'Vitamin C']]",[['L-Ascorbate 6-phosphate']],"[['protein-Npi-phosphohistidine---L-ascorbate phosphotransferase', 'ulaABC (gene names)', 'L-ascorbate PTS permease', 'EIISga', 'Enzyme IISga', 'Enzyme IIUla']]"
rnR07676,['L-galactonate:NADP+ oxidoreductase'],"[['L-Galactonate', 'L-Galactonic acid']]","[['D-Galacturonate', 'D-Galacturonic acid']]","[['D-galacturonate reductase', 'GalUR', 'gar1 (gene name)']]"
rnR03184,"['L-gulono-1,4-lactone:oxygen 2-oxidoreductase']","[['L-Gulono-1,4-lactone', 'L-Gulono-gamma-lactone', 'gamma-Gulonolactone', 'L-Gulonic acid gamma-lactone', 'L-Gulonolactone']]","[['L-xylo-Hexulonolactone', 'L-xylo-Hex-2-ulono-1,4-lactone']]","[['L-gulonolactone oxidase', 'L-gulono-gamma-lactone: O2 oxidoreductase', 'L-gulono-gamma-lactone oxidase', 'L-gulono-gamma-lactone:oxidoreductase', 'GLO']]"
rnR07675,['L-galactose:NAD+ 1-oxidoreductase'],[['L-Galactose']],"[['L-Galactono-1,4-lactone']]","[['L-galactose 1-dehydrogenase', 'L-GalDH', 'L-galactose dehydrogenase'], ['D-threo-aldose 1-dehydrogenase', 'L-fucose dehydrogenase', '(2S,3R)-aldose dehydrogenase', 'dehydrogenase, L-fucose', 'L-fucose (D-arabinose) dehydrogenase']]"
rnR07674,['beta-L-galactose-1-phosphate phosphohydrolase'],"[['beta-L-Galactose 1-phosphate', 'L-Galactose 1-phosphate']]",[['L-Galactose']],"[['L-galactose 1-phosphate phosphatase', 'VTC4 (gene name) (ambiguous)', 'IMPL2 (gene name) (ambiguous)']]"
rnR07678,['GDP-beta-L-galactose:hexose 1-phosphate guanylyltransferase'],"[['GDP-L-galactose', 'GDP-beta-L-galactose']]","[['beta-L-Galactose 1-phosphate', 'L-Galactose 1-phosphate']]","[['GDP-L-galactose/GDP-D-glucose: hexose 1-phosphate guanylyltransferase', 'VTC2', 'VTC5', 'GDP-L-galactose phosphorylase']]"
rnR07673,[],[['GDP-L-gulose']],"[['GDP-L-galactose', 'GDP-beta-L-galactose']]","[['GDP-mannose 3,5-epimerase', 'GME (gene name)', 'GDP-D-mannose:GDP-L-galactose epimerase', ""guanosine 5'-diphosphate D-mannose:guanosine 5'-diphosphate L-galactose epimerase""]]"
rnR00889,"['GDP-mannose 3,5-epimerase']","[['GDP-mannose', 'GDP-D-mannose', 'GDP-alpha-D-mannose']]","[['GDP-L-galactose', 'GDP-beta-L-galactose']]","[['GDP-mannose 3,5-epimerase', 'GME (gene name)', 'GDP-D-mannose:GDP-L-galactose epimerase', ""guanosine 5'-diphosphate D-mannose:guanosine 5'-diphosphate L-galactose epimerase""]]"
rnR07672,['GDP-mannose 5-epimerase'],"[['GDP-mannose', 'GDP-D-mannose', 'GDP-alpha-D-mannose']]",[['GDP-L-gulose']],"[['GDP-mannose 3,5-epimerase', 'GME (gene name)', 'GDP-D-mannose:GDP-L-galactose epimerase', ""guanosine 5'-diphosphate D-mannose:guanosine 5'-diphosphate L-galactose epimerase""]]"
rnR01184,['myo-inositol:oxygen oxidoreductase'],"[['myo-Inositol', 'D-myo-Inositol', '1D-myo-Inositol', 'L-myo-Inositol', '1L-myo-Inositol', 'meso-Inositol', 'Inositol', 'Dambose', 'Cyclohexitol', 'Meat sugar', 'Bios I']]","[['D-Glucuronate', 'Glucuronic acid', 'Glucuronate']]","[['inositol oxygenase', 'meso-inositol oxygenase', 'myo-inositol oxygenase', 'MOO']]"
rnR01476,['ATP:D-glucuronate 1-phosphotransferase'],"[['D-Glucuronate', 'Glucuronic acid', 'Glucuronate']]","[['D-Glucuronate 1-phosphate', '1-Phospho-alpha-D-glucuronate']]","[['glucuronokinase', 'glucuronokinase (phosphorylating)', 'glucurono-glucuronokinase']]"
rnR01381,['UTP:1-phospho-alpha-D-glucuronate uridylyltransferase'],"[['UDP-glucuronate', 'UDPglucuronate', 'UDP-D-glucuronate', 'UDP-alpha-D-glucuronate']]","[['D-Glucuronate 1-phosphate', '1-Phospho-alpha-D-glucuronate']]","[['UTP-monosaccharide-1-phosphate uridylyltransferase', 'UDP-sugar pyrophosphorylase', 'PsUSP'], ['glucuronate-1-phosphate uridylyltransferase', 'UDP-glucuronate pyrophosphorylase', 'UDP-D-glucuronic acid pyrophosphorylase', 'UDP-glucuronic acid pyrophosphorylase', 'uridine diphosphoglucuronic pyrophosphorylase']]"
rnR00286,['UDP-glucose:NAD+ 6-oxidoreductase'],"[['UDP-glucose', 'UDPglucose', 'UDP-D-glucose', 'Uridine diphosphate glucose', 'UDP-alpha-D-glucose']]","[['UDP-glucuronate', 'UDPglucuronate', 'UDP-D-glucuronate', 'UDP-alpha-D-glucuronate']]","[['UDP-glucose 6-dehydrogenase', 'UDP-glucose dehydrogenase', 'uridine diphosphoglucose dehydrogenase', 'UDPG dehydrogenase', 'UDPG:NAD oxidoreductase', 'UDP-alpha-D-glucose:NAD oxidoreductase', 'UDP-glucose:NAD+ oxidoreductase', 'uridine diphosphate glucose dehydrogenase', 'UDP-D-glucose dehydrogenase', 'uridine diphosphate D-glucose dehydrogenase']]"
rnR07127,['ATP:3-dehydro-L-gulonate 6-phosphotransferase'],[['3-Dehydro-L-gulonate']],[['3-Dehydro-L-gulonate 6-phosphate']],"[['L-xylulokinase', 'L-xylulokinase (phosphorylating)']]"
rnR03183,"['L-gulono-1,4-lactone:NADP+ 1-oxidoreductase']","[['L-Gulono-1,4-lactone', 'L-Gulono-gamma-lactone', 'gamma-Gulonolactone', 'L-Gulonic acid gamma-lactone', 'L-Gulonolactone']]","[['D-Glucuronolactone', 'Glucurone', 'D-Glucurono-3,6-lactone', 'D-Glucurone']]","[['glucuronolactone reductase', 'GRase', 'gulonolactone dehydrogenase']]"
rnR01481,['L-gulonate:NADP+ 6-oxidoreductase'],"[['L-Gulonate', 'L-Gulonic acid', 'Gulonate', 'Gulonic acid']]","[['D-Glucuronate', 'Glucuronic acid', 'Glucuronate']]","[['glucuronate reductase', 'L-hexonate:NADP dehydrogenase', 'TPN-L-gulonate dehydrogenase', 'NADP-L-gulonate dehydrogenase', 'D-glucuronate dehydrogenase', 'D-glucuronate reductase', 'L-glucuronate reductase (incorrect)'], ['alcohol dehydrogenase (NADP+)', 'aldehyde reductase (NADPH2)', 'NADP-alcohol dehydrogenase', 'NADP+-aldehyde reductase', 'NADP+-dependent aldehyde reductase', 'NADPH-aldehyde reductase', 'NADPH-dependent aldehyde reductase', 'nonspecific succinic semialdehyde reductase', 'ALR 1', 'low-Km aldehyde reductase', 'high-Km aldehyde reductase', 'alcohol dehydrogenase (NADP)']]"
rnR07679,[],"[['Ascorbate', 'Ascorbic acid', 'L-Ascorbate', 'L-Ascorbic acid', 'Vitamin C']]","[['Dehydroascorbate', 'Dehydroascorbic acid', 'L-Dehydroascorbate', 'L-Dehydroascorbic acid']]","[['L-galactonolactone dehydrogenase', 'galactonolactone dehydrogenase', 'L-galactono-gamma-lactone dehydrogenase', 'L-galactono-gamma-lactone:ferricytochrome-c oxidoreductase', 'GLDHase', 'GLDase']]"
rnR03277,[],"[['2-Hydroxy-3-oxopropanoate', 'Tartronate semialdehyde'], ['Pyruvate', 'Pyruvic acid', '2-Oxopropanoate', '2-Oxopropanoic acid', 'Pyroracemic acid']]",[['2-Dehydro-3-deoxy-D-glucarate']],"[['2-dehydro-3-deoxyglucarate aldolase', '2-keto-3-deoxyglucarate aldolase', 'alpha-keto-beta-deoxy-D-glucarate aldolase', '2-dehydro-3-deoxy-D-glucarate tartronate-semialdehyde-lyase', '2-dehydro-3-deoxy-D-glucarate tartronate-semialdehyde-lyase (pyruvate-forming)']]"
rnR02752,['D-glucarate hydro-lyase'],"[['D-Glucarate', 'D-Glucaric acid', 'L-Gularic acid', 'D-Saccharic acid', 'D-Glucosaccharic acid', 'Glucaric acid', 'Glucarate']]","[['5-Dehydro-4-deoxy-D-glucarate', '(2R,3S)-2,3-Dihydroxy-5-oxohexanedioate']]","[['glucarate dehydratase', 'D-glucarate dehydratase', 'D-glucarate hydro-lyase']]"
rnR02933,"['L-gulono-1,4-lactone lactonohydrolase']","[['L-Gulono-1,4-lactone', 'L-Gulono-gamma-lactone', 'gamma-Gulonolactone', 'L-Gulonic acid gamma-lactone', 'L-Gulonolactone']]","[['L-Gulonate', 'L-Gulonic acid', 'Gulonate', 'Gulonic acid']]","[['gluconolactonase', 'lactonase', 'aldonolactonase', 'glucono-delta-lactonase', 'gulonolactonase'], ['1,4-lactonase', 'gamma-lactonase']]"
rnR02754,['5-dehydro-4-deoxy-D-glucarate tartronate-semialdehyde-lyase'],"[['5-Dehydro-4-deoxy-D-glucarate', '(2R,3S)-2,3-Dihydroxy-5-oxohexanedioate']]","[['2-Hydroxy-3-oxopropanoate', 'Tartronate semialdehyde'], ['Pyruvate', 'Pyruvic acid', '2-Oxopropanoate', '2-Oxopropanoic acid', 'Pyroracemic acid']]","[['2-dehydro-3-deoxyglucarate aldolase', '2-keto-3-deoxyglucarate aldolase', 'alpha-keto-beta-deoxy-D-glucarate aldolase', '2-dehydro-3-deoxy-D-glucarate tartronate-semialdehyde-lyase', '2-dehydro-3-deoxy-D-glucarate tartronate-semialdehyde-lyase (pyruvate-forming)']]"
rnR05608,['galactarate hydro-lyase (5-dehydro-4-deoxy-D-glucarate-forming)'],"[['D-Galactarate', 'D-Mucic acid', 'D-Galactaric acid', 'Galactaric acid', 'Galactarate', 'Mucic acid']]","[['5-Dehydro-4-deoxy-D-glucarate', '(2R,3S)-2,3-Dihydroxy-5-oxohexanedioate']]","[['galactarate dehydratase', 'D-galactarate hydro-lyase', 'D-galactarate hydro-lyase (5-dehydro-4-deoxy-D-glucarate-forming)', 'talrD (gene name)/galrD (gene name)', 'galactarate dehydratase (L-threo-forming)']]"
rnR02279,['5-dehydro-4-deoxy-D-glucarate hydro-lyase (decarboxylating)'],"[['5-Dehydro-4-deoxy-D-glucarate', '(2R,3S)-2,3-Dihydroxy-5-oxohexanedioate']]","[['2,5-Dioxopentanoate', '2-Oxoglutarate semialdehyde']]","[['5-dehydro-4-deoxyglucarate dehydratase', '5-keto-4-deoxy-glucarate dehydratase', '5-keto-4-deoxy-glucarate dehydratase', 'deoxyketoglucarate dehydratase', 'D-4-deoxy-5-ketoglucarate hydro-lyase', '5-dehydro-4-deoxy-D-glucarate hydro-lyase (decarboxylating)']]"
rnR01108,['glutathione:dehydroascorbate oxidoreductase'],"[['Dehydroascorbate', 'Dehydroascorbic acid', 'L-Dehydroascorbate', 'L-Dehydroascorbic acid']]","[['Ascorbate', 'Ascorbic acid', 'L-Ascorbate', 'L-Ascorbic acid', 'Vitamin C']]","[['glutathione dehydrogenase (ascorbate)', 'dehydroascorbic reductase', 'dehydroascorbic acid reductase', 'glutathione dehydroascorbate reductase', 'DHA reductase ', 'dehydroascorbate reductase', 'GDOR', 'glutathione:dehydroascorbic acid oxidoreductase']]"
rnR09540,[],"[['Ascorbate', 'Ascorbic acid', 'L-Ascorbate', 'L-Ascorbic acid', 'Vitamin C']]","[['Monodehydroascorbate', 'Monodehydroascorbate radical', 'Ascorbate radical', 'Semidehydroascorbic acid']]","[['L-ascorbate peroxidase', 'L-ascorbic acid peroxidase', 'L-ascorbic acid-specific peroxidase', 'ascorbate peroxidase', 'ascorbic acid peroxidase']]"
rnR00068,['L-ascorbate:oxygen oxidoreductase'],"[['Ascorbate', 'Ascorbic acid', 'L-Ascorbate', 'L-Ascorbic acid', 'Vitamin C']]","[['Dehydroascorbate', 'Dehydroascorbic acid', 'L-Dehydroascorbate', 'L-Dehydroascorbic acid']]","[['L-ascorbate oxidase', 'ascorbase', 'ascorbic acid oxidase', 'ascorbate oxidase', 'ascorbic oxidase', 'ascorbate dehydrogenase', 'L-ascorbic acid oxidase', 'AAO', 'L-ascorbate:O2 oxidoreductase', 'AA oxidase']]"
rnR00095,['NADH:monodehydroascorbate oxidoreductase'],"[['Monodehydroascorbate', 'Monodehydroascorbate radical', 'Ascorbate radical', 'Semidehydroascorbic acid']]","[['Ascorbate', 'Ascorbic acid', 'L-Ascorbate', 'L-Ascorbic acid', 'Vitamin C']]","[['monodehydroascorbate reductase (NADH)', 'NADH:semidehydroascorbic acid oxidoreductase', 'MDHA', 'semidehydroascorbate reductase', 'AFR (ambiguous)', 'AFR-reductase', 'ascorbic free radical reductase', 'ascorbate free radical reductase', 'SOR (ambiguous)', 'MDAsA reductase (NADPH)', 'SDA reductase', 'NADH:ascorbate radical oxidoreductase', 'NADH-semidehydroascorbate oxidoreductase', 'ascorbate free-radical reductase', 'NADH:AFR oxidoreductase', 'monodehydroascorbate reductase (NADH2)']]"
rnR00264,"['2,5-dioxopentanoate:NADP+ 5-oxidoreductase']","[['2,5-Dioxopentanoate', '2-Oxoglutarate semialdehyde']]","[['2-Oxoglutarate', 'Oxoglutaric acid', '2-Ketoglutaric acid', 'alpha-Ketoglutaric acid']]","[['2,5-dioxovalerate dehydrogenase', '2-oxoglutarate semialdehyde dehydrogenase', 'alpha-ketoglutaric semialdehyde dehydrogenase']]"
rnR02278,['2-dehydro-3-deoxy-L-arabinonate hydro-lyase'],"[['2-Dehydro-3-deoxy-L-arabinonate', '2-Dehydro-3-deoxy-L-pentonate', '2-Dehydro-3-deoxy-L-arabinonic acid']]","[['2,5-Dioxopentanoate', '2-Oxoglutarate semialdehyde']]","[['2-dehydro-3-deoxy-L-arabinonate dehydratase', '2-keto-3-deoxy-L-arabinonate dehydratase', '2-dehydro-3-deoxy-L-arabinonate hydro-lyase']]"
rnR02522,['L-arabinonate hydro-lyase'],[['L-Arabinonate']],"[['2-Dehydro-3-deoxy-L-arabinonate', '2-Dehydro-3-deoxy-L-pentonate', '2-Dehydro-3-deoxy-L-arabinonic acid']]","[['L-arabinonate dehydratase', 'L-arabonate dehydrase', 'L-arabonate dehydratase', 'L-arabinonate hydro-lyase']]"
rnR08056,['D-glucarate hydro-lyase'],"[['D-Glucarate', 'D-Glucaric acid', 'L-Gularic acid', 'D-Saccharic acid', 'D-Glucosaccharic acid', 'Glucaric acid', 'Glucarate']]",[['2-Dehydro-3-deoxy-D-glucarate']],"[['glucarate dehydratase', 'D-glucarate dehydratase', 'D-glucarate hydro-lyase']]"
rnR02957,['D-glucuronolactone:NAD+ oxidoreductase'],"[['D-Glucuronolactone', 'Glucurone', 'D-Glucurono-3,6-lactone', 'D-Glucurone']]","[['D-Glucarate', 'D-Glucaric acid', 'L-Gularic acid', 'D-Saccharic acid', 'D-Glucosaccharic acid', 'Glucaric acid', 'Glucarate']]","[['aldehyde dehydrogenase (NAD+)', 'CoA-independent aldehyde dehydrogenase', 'm-methylbenzaldehyde dehydrogenase', 'NAD-aldehyde dehydrogenase', 'NAD-dependent 4-hydroxynonenal dehydrogenase', 'NAD-dependent aldehyde dehydrogenase', 'NAD-linked aldehyde dehydrogenase', 'propionaldehyde dehydrogenase', 'aldehyde dehydrogenase (NAD)']]"
rnR01483,['D-glucuronolactone lactonohydrolase'],"[['D-Glucuronolactone', 'Glucurone', 'D-Glucurono-3,6-lactone', 'D-Glucurone']]","[['D-Glucuronate', 'Glucuronic acid', 'Glucuronate']]","[['uronolactonase', 'glucuronolactonase']]"
rnR03733,['L-threonate:NAD+ 3-oxidoreductase'],"[['Threonate', 'L-Threonate', '(2R,3S)-2,3,4-Trihydroxybutanoic acid']]","[['3-Dehydro-L-threonate', '3-Dehydro-D-erythronate']]","[['L-threonate 3-dehydrogenase', 'threonate dehydrogenase', 'L-threonic acid dehydrogenase']]"
