id,name,reactants,products,modifiers
rnR00299,['ATP:D-glucose 6-phosphotransferase'],"[['D-Glucose', 'Grape sugar', 'Dextrose', 'Glucose', 'D-Glucopyranose']]","[['D-Glucose 6-phosphate', 'Glucose 6-phosphate', 'Robison ester']]","[['glucokinase', 'glucokinase (phosphorylating)'], ['hexokinase', 'hexokinase type IV glucokinase', 'hexokinase D', 'hexokinase type IV', 'hexokinase (phosphorylating)', 'ATP-dependent hexokinase', 'glucose ATP phosphotransferase']]"
rnR03384,['ATP:1-amino-1-deoxy-scyllo-inositol 4-phosphotransferase'],"[['1-Amino-1-deoxy-scyllo-inositol', 'scyllo-Inosamine']]","[['1-Amino-1-deoxy-scyllo-inositol 4-phosphate', 'scyllo-Inosamine 4-phosphate']]","[['scyllo-inosamine 4-kinase', 'scyllo-inosamine kinase (phosphorylating)', 'scyllo-inosamine kinase', 'ATP:inosamine phosphotransferase']]"
rnR01187,['1D-myo-inositol 3-phosphate phosphohydrolase'],"[['1D-myo-Inositol 3-phosphate', 'D-myo-Inositol 3-phosphate', 'myo-Inositol 3-phosphate', 'Inositol 3-phosphate', '1D-myo-Inositol 3-monophosphate', 'D-myo-Inositol 3-monophosphate', 'myo-Inositol 3-monophosphate', 'Inositol 3-monophosphate', '1L-myo-Inositol 1-phosphate', 'L-myo-Inositol 1-phosphate']]","[['myo-Inositol', 'D-myo-Inositol', '1D-myo-Inositol', 'L-myo-Inositol', '1L-myo-Inositol', 'meso-Inositol', 'Inositol', 'Dambose', 'Cyclohexitol', 'Meat sugar', 'Bios I']]","[['inositol-phosphate phosphatase', 'myo-inositol-1(or 4)-monophosphatase', 'inositol 1-phosphatase', 'L-myo-inositol-1-phosphate phosphatase', 'myo-inositol 1-phosphatase', 'inositol phosphatase', 'inositol monophosphate phosphatase', 'inositol-1(or 4)-monophosphatase', 'myo-inositol-1(or 4)-phosphate phosphohydrolase', 'myo-inositol monophosphatase', 'myo-inositol-1-phosphatase']]"
rnR07324,['1D-myo-inositol-3-phosphate lyase (isomerizing)'],"[['D-Glucose 6-phosphate', 'Glucose 6-phosphate', 'Robison ester']]","[['1D-myo-Inositol 3-phosphate', 'D-myo-Inositol 3-phosphate', 'myo-Inositol 3-phosphate', 'Inositol 3-phosphate', '1D-myo-Inositol 3-monophosphate', 'D-myo-Inositol 3-monophosphate', 'myo-Inositol 3-monophosphate', 'Inositol 3-monophosphate', '1L-myo-Inositol 1-phosphate', 'L-myo-Inositol 1-phosphate']]","[['inositol-3-phosphate synthase', 'myo-inositol-1-phosphate synthase', 'D-glucose 6-phosphate cycloaldolase', 'inositol 1-phosphate synthatase', 'glucose 6-phosphate cyclase', 'inositol 1-phosphate synthetase', 'glucose-6-phosphate inositol monophosphate cycloaldolase', 'glucocycloaldolase', '1L-myo-inositol-1-phosphate lyase (isomerizing)']]"
rnR02777,"['dTDP-beta-L-rhamnose:NADP+ 4-oxidoreductase', 'dTDP-6-deoxy-L-mannose:NADP+ 4-oxidoreductase']","[['dTDP-4-dehydro-beta-L-rhamnose', 'dTDP-4-dehydro-6-deoxy-beta-L-mannose', 'dTDP-4-oxo-6-deoxy-L-mannose', 'dTDP-4-oxo-L-rhamnose']]","[['dTDP-L-rhamnose', 'dTDP-6-deoxy-L-mannose', 'dTDP-6-deoxy-beta-L-mannose', 'dTDP-beta-L-rhamnose']]","[['dTDP-4-dehydrorhamnose reductase', 'dTDP-4-keto-L-rhamnose reductase', 'dTDP-4-ketorhamnose reductase', 'TDP-4-keto-rhamnose reductase', 'thymidine diphospho-4-ketorhamnose reductase', 'dTDP-6-deoxy-L-mannose:NADP+ 4-oxidoreductase', 'dTDP-6-deoxy-beta-L-mannose:NADP+ 4-oxidoreductase']]"
rnR02225,['ATP:streptomycin 6-phosphotransferase'],[['Streptomycin']],[['Streptomycin 6-phosphate']],"[['streptomycin 6-kinase', 'streptidine kinase', 'SM 6-kinase', 'streptomycin 6-kinase (phosphorylating)', 'streptidine kinase (phosphorylating)', 'streptomycin 6-O-phosphotransferase', 'streptomycin 6-phosphotransferase']]"
rnR02228,['streptomycin-6-phosphate phosphohydrolase'],[['Streptomycin 6-phosphate']],[['Streptomycin']],"[['streptomycin-6-phosphatase', 'streptomycin 6-phosphate phosphatase', 'streptomycin 6-phosphate phosphohydrolase', 'streptomycin-6-P phosphohydrolase']]"
rnR04222,['dTDP-L-dihydrostreptose:streptidine-6-phosphate dihydrostreptosyltransferase'],"[['dTDP-L-dihydrostreptose'], ['Streptidine 6-phosphate']]","[['O-(1->4)-alpha-L-Dihydrostreptosyl-streptidine 6-phosphate', 'alpha-L-Dihydrostreptosyl-(1->4)-streptidine 6-phosphate']]","[['dTDP-dihydrostreptose---streptidine-6-phosphate dihydrostreptosyltransferase', 'thymidine diphosphodihydrostreptose-streptidine 6-phosphate dihydrostreptosyltransferase']]"
rnR06514,"['dTDP-4-dehydro-6-deoxy-alpha-D-glucose 3,5-epimerase', 'dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase']","[['dTDP-4-oxo-6-deoxy-D-glucose', 'dTDP-4-dehydro-6-deoxy-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose', 'dTDP-4-oxo-6-deoxy-alpha-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-galactose', 'dTDP-4-dehydro-6-deoxy-D-galactose', 'dTDP-6-deoxy-D-xylo-hexos-4-ulose', 'dTDP-6-deoxy-D-xylo-4-hexulose', '4,6-Dideoxy-4-oxo-dTDP-D-glucose']]","[['dTDP-4-dehydro-beta-L-rhamnose', 'dTDP-4-dehydro-6-deoxy-beta-L-mannose', 'dTDP-4-oxo-6-deoxy-L-mannose', 'dTDP-4-oxo-L-rhamnose']]","[['dTDP-4-dehydrorhamnose 3,5-epimerase', 'dTDP-L-rhamnose synthetase', 'dTDP-L-rhamnose synthase', 'thymidine diphospho-4-ketorhamnose 3,5-epimerase', 'TDP-4-ketorhamnose 3,5-epimerase', 'dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase', 'TDP-4-keto-L-rhamnose-3,5-epimerase']]"
rnR06513,"['dTDPglucose 4,6-hydro-lyase']","[['dTDP-glucose', 'dTDP-D-glucose', 'dTDP-alpha-D-glucose']]","[['dTDP-4-oxo-6-deoxy-D-glucose', 'dTDP-4-dehydro-6-deoxy-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose', 'dTDP-4-oxo-6-deoxy-alpha-D-glucose', 'dTDP-4-dehydro-6-deoxy-alpha-D-galactose', 'dTDP-4-dehydro-6-deoxy-D-galactose', 'dTDP-6-deoxy-D-xylo-hexos-4-ulose', 'dTDP-6-deoxy-D-xylo-4-hexulose', '4,6-Dideoxy-4-oxo-dTDP-D-glucose']]","[['dTDP-glucose 4,6-dehydratase', 'thymidine diphosphoglucose oxidoreductase', 'TDP-glucose oxidoreductase', 'dTDP-glucose 4,6-hydro-lyase', 'dTDP-glucose 4,6-hydro-lyase (dTDP-4-dehydro-6-deoxy-alpha-D-glucose-forming)']]"
rnR02328,['dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase'],"[['D-Glucose 1-phosphate', 'alpha-D-Glucose 1-phosphate', 'Cori ester', 'D-Glucose alpha-1-phosphate']]","[['dTDP-glucose', 'dTDP-D-glucose', 'dTDP-alpha-D-glucose']]","[['glucose-1-phosphate thymidylyltransferase', 'glucose 1-phosphate thymidylyltransferase', 'dTDP-glucose synthase', 'dTDP-glucose pyrophosphorylase', 'thymidine diphosphoglucose pyrophosphorylase', 'thymidine diphosphate glucose pyrophosphorylase', 'TDP-glucose pyrophosphorylase']]"
rnR08639,"['alpha-D-glucose 1,6-phosphomutase']","[['D-Glucose 1-phosphate', 'alpha-D-Glucose 1-phosphate', 'Cori ester', 'D-Glucose alpha-1-phosphate']]","[['D-Glucose 6-phosphate', 'Glucose 6-phosphate', 'Robison ester']]","[['phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)', 'glucose phosphomutase (ambiguous)', 'phosphoglucose mutase (ambiguous)']]"
rnR03477,['L-arginine:1-amino-1-deoxy-scyllo-inositol-4-phosphate amindinotransferase'],"[['1-Amino-1-deoxy-scyllo-inositol 4-phosphate', 'scyllo-Inosamine 4-phosphate']]","[['1-Guanidino-1-deoxy-scyllo-inositol 4-phosphate', 'N-Amidino-scyllo-inosamine 4-phosphate']]","[['scyllo-inosamine-4-phosphate amidinotransferase', 'L-arginine:inosamine-P-amidinotransferase', 'inosamine-P amidinotransferase', 'L-arginine:inosamine phosphate amidinotransferase', 'inosamine-phosphate amidinotransferase']]"
rnR01183,['myo-inositol:NAD+ 2-oxidoreductase'],"[['myo-Inositol', 'D-myo-Inositol', '1D-myo-Inositol', 'L-myo-Inositol', '1L-myo-Inositol', 'meso-Inositol', 'Inositol', 'Dambose', 'Cyclohexitol', 'Meat sugar', 'Bios I']]","[['2,4,6/3,5-Pentahydroxycyclohexanone', 'scyllo-Inosose', '2-Inosose']]","[['inositol 2-dehydrogenase', 'myo-inositol 2-dehydrogenase', 'myo-inositol:NAD+ oxidoreductase', 'inositol dehydrogenase', 'myo-inositol dehydrogenase']]"
rnR02781,"['L-glutamine:2,4,6/3,5-pentahydroxycyclohexanone aminotransferase']","[['2,4,6/3,5-Pentahydroxycyclohexanone', 'scyllo-Inosose', '2-Inosose']]","[['1-Amino-1-deoxy-scyllo-inositol', 'scyllo-Inosamine']]","[['glutamine---scyllo-inositol transaminase', 'glutamine scyllo-inosose aminotransferase', 'L-glutamine-keto-scyllo-inositol aminotransferase', 'glutamine-scyllo-inosose transaminase', 'L-glutamine-scyllo-inosose transaminase']]"
rnR03496,['1-guanidino-1-deoxy-scyllo-inositol-4-phosphate 4-phosphohydrolase'],"[['1-Guanidino-1-deoxy-scyllo-inositol 4-phosphate', 'N-Amidino-scyllo-inosamine 4-phosphate']]","[['1-Guanidino-1-deoxy-scyllo-inositol', 'Amidino-scyllo-inosamine']]","[['guanidinodeoxy-scyllo-inositol-4-phosphatase', '1-guanidino-scyllo-inositol 4-phosphatase', '1-guanidino-1-deoxy-scyllo-inositol-4-P phosphohydrolase']]"
rnR03502,"['1D-1-guanidino-3-amino-1,3-dideoxy-scyllo-inositol:pyruvate aminotransferase']","[['1D-1-Guanidino-1-deoxy-3-dehydro-scyllo-inositol', 'Amidino-3-keto-scyllo-inosamine']]","[['1D-1-Guanidino-3-amino-1,3-dideoxy-scyllo-inositol', 'Amidinostreptamine']]","[['1D-1-guanidino-3-amino-1,3-dideoxy-scyllo-inositol transaminase', 'guanidinoaminodideoxy-scyllo-inositol-pyruvate aminotransferase', 'L-alanine-N-amidino-3-(or 5-)keto-scyllo-inosamine transaminase']]"
