id,name,reactants,products,modifiers
rnR05970,[],"[['N-Acetyl-D-glucosaminyldiphosphodolichol', '(GlcNAc)1 (PP-Dol)1']]","[[""N,N'-Chitobiosyldiphosphodolichol"", '(GlcNAc)2 (PP-Dol)1']]","[['N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase', 'UDP-GlcNAc:dolichyl-pyrophosphoryl-GlcNAc GlcNAc transferase', 'uridine diphosphoacetylglucosamine-dolichylacetylglucosamine pyrophosphate acetylglucosaminyltransferase', ""N,N'-diacetylchitobiosylpyrophosphoryldolichol synthase"", 'UDP-N-acetyl-D-glucosamine:N-acetyl-D-glucosaminyl-diphosphodolichol N-acetyl-D-glucosaminyltransferase']]"
rnR06264,"['dolichyl beta-D-glucosyl phosphate:D-Glc-alpha-(1->3)-D-Glc-alpha-(1->3)-D-Man-alpha-(1->2)-D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->6)]-D-Man-alpha-(1->6)]-D-Man-beta-(1->4)-D-GlcNAc-beta-(1->4)-D-GlcNAc-diphosphodolichol alpha-1,2-glucosyltransferase']",[['(Glc)2 (GlcNAc)2 (Man)9 (PP-Dol)1']],[['(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1']],"[['dolichyl-P-Glc:Glc2Man9GlcNAc2-PP-dolichol alpha-1,2-glucosyltransferase', 'ALG10', 'Dol-P-Glc:Glc2Man9GlcNAc2-PP-Dol alpha-1,2-glucosyltransferase', 'dolichyl beta-D-glucosyl phosphate:D-Glc-alpha-(1->3)-D-Glc-alpha-(1->3)-D-Man-alpha-(1->2)-D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->6)]-D-Man-alpha-(1->6)]-D-Man-beta-(1->4)-D-GlcNAc-beta-(1->4)-D-GlcNAc-diphosphodolichol 2-alpha-D-glucosyltransferase']]"
rnR06263,"['dolichyl beta-D-glucosyl phosphate:D-Glc-alpha-(1->3)-D-Man-alpha-(1->2)-D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->6)]-D-Man-alpha-(1->6)]-D-Man-beta-(1->4)-D-GlcNAc-beta-(1->4)-D-GlcNAc-diphosphodolichol alpha-1,3-glucosyltransferase']",[['(Glc)1 (GlcNAc)2 (Man)9 (PP-Dol)1']],[['(Glc)2 (GlcNAc)2 (Man)9 (PP-Dol)1']],"[['dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichol alpha-1,3-glucosyltransferase', 'ALG8', 'Dol-P-Glc:Glc1Man9GlcNAc2-PP-Dol alpha-1,3-glucosyltransferase', 'dolichyl beta-D-glucosyl phosphate:D-Glc-alpha-(1->3)-D-Man-alpha-(1->2)-D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->6)]-D-Man-alpha-(1->6)]-D-Man-beta-(1->4)-D-GlcNAc-beta-(1->4)-D-GlcNAc-diphosphodolichol alpha-1,3-glucosyltransferase']]"
rnR06262,"['dolichyl beta-D-glucosyl phosphate:D-Man-alpha-(1->2)-D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->6)]-D-Man-alpha-(1->6)]-D-Man-beta-(1->4)-D-GlcNAc-beta-(1->4)-D-GlcNAc-diphosphodolichol alpha-1,3-glucosyltransferase']","[['Dolichyl beta-D-glucosyl phosphate'], ['(GlcNAc)2 (Man)9 (PP-Dol)1']]",[['(Glc)1 (GlcNAc)2 (Man)9 (PP-Dol)1']],"[['dolichyl-P-Glc:Man9GlcNAc2-PP-dolichol alpha-1,3-glucosyltransferase', 'ALG6', 'Dol-P-Glc:Man9GlcNAc2-PP-Dol alpha-1,3-glucosyltransferase', 'dolichyl beta-D-glucosyl phosphate:D-Man-alpha-(1->2)-D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->6)]-D-Man-alpha-(1->6)]-D-Man-beta-(1->4)-D-GlcNAc-beta-(1->4)-D-GlcNAc-diphosphodolichol alpha-1,3-glucosyltransferase']]"
rnR06260,[],[['(GlcNAc)2 (Man)7 (PP-Dol)1']],[['(GlcNAc)2 (Man)8 (PP-Dol)1']],"[['dolichyl-P-Man:Man7GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase', 'ALG12', 'ALG12 mannosyltransferase', 'ALG12 alpha1,6mannosyltransferase', 'dolichyl-P-mannose:Man7GlcNAc2-PP-dolichyl mannosyltransferase', 'dolichyl-P-Man:Man7GlcNAc2-PP-dolichyl alpha6-mannosyltransferase', 'EBS4', 'Dol-P-Man:Man7GlcNAc2-PP-Dol alpha-1,6-mannosyltransferase', 'dolichyl beta-D-mannosyl phosphate:D-Man-alpha-(1->2)-D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-D-Man-alpha-(1->6)]-D-Man-beta-(1->4)-D-GlcNAc-beta-(1->4)-D-GlcNAc-diphosphodolichol alpha-1,6-mannosyltransferase']]"
rnR06259,[],[['(GlcNAc)2 (Man)6 (PP-Dol)1']],[['(GlcNAc)2 (Man)7 (PP-Dol)1']],"[['dolichyl-P-Man:Man6GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase', 'ALG9', 'ALG9 alpha1,2 mannosyltransferase', 'dolichylphosphomannose-dependent ALG9 mannosyltransferase', 'ALG9 mannosyltransferase', 'Dol-P-Man:Man6GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase', 'dolichyl beta-D-mannosyl phosphate:D-Man-alpha-(1->2)-D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->3)-D-Man-alpha-(1->6)]-D-Man-beta-(1->4)-D-GlcNAc-beta-(1->4)-D-GlcNAc-diphosphodolichol alpha-1,2-mannosyltransferase']]"
rnR06258,[],"[['Dolichyl phosphate D-mannose', 'Dolichyl D-mannosyl phosphate', 'Dolichyl beta-D-mannosyl phosphate'], ['(GlcNAc)2 (Man)5 (PP-Dol)1']]",[['(GlcNAc)2 (Man)6 (PP-Dol)1']],"[['dolichyl-P-Man:Man5GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase', 'Man5GlcNAc2-PP-Dol mannosyltransferase', 'ALG3', 'dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase', 'Not56-like protein', 'Alg3 alpha-1,3-mannosyl transferase', 'Dol-P-Man:Man5GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase', 'dolichyl beta-D-mannosyl phosphate:D-Man-alpha-(1->2)-D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->6)]-D-Man-beta-(1->4)-D-GlcNAc-beta-(1->4)-D-GlcNAc-diphosphodolichol alpha-1,3-mannosyltransferase']]"
rnR05991,[],[['(GlcNAc)5 (Man)3 (Asn)1']],[['(GlcNAc)6 (Man)3 (Asn)1']],"[['alpha-1,6-mannosyl-glycoprotein 6-beta-N-acetylglucosaminyltransferase', 'MGAT5 (gene name)', 'N-acetylglucosaminyltransferase V', 'alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase', 'uridine diphosphoacetylglucosamine-alpha-mannoside beta1->6-acetylglucosaminyltransferase', 'UDP-N-acetylglucosamine:alpha-mannoside-beta1,6 N-acetylglucosaminyltransferase', 'alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetylglucosaminyltransferase', 'GnTV', 'GlcNAc-T V', 'UDP-N-acetyl-D-glucosamine:6-[2-(N-acetyl-beta-D-glucosaminyl)-alpha-D-mannosyl]-glycoprotein 6-beta-N-acetyl-D-glucosaminyltransferase']]"
rnR01004,['dolichyl-diphosphate phosphohydrolase'],"[['Dolichyl diphosphate', 'Dolichol diphosphate']]","[['Dolichyl phosphate', 'Dolichol phosphate']]","[['dolichyldiphosphatase', 'dolichol diphosphatase', 'dolichyl pyrophosphatase', 'dolichyl pyrophosphate phosphatase', 'dolichyl diphosphate phosphohydrolase', 'Dol-P-P phosphohydrolase']]"
rnR05988,[],[['(GlcNAc)4 (Man)3 (Asn)1']],"[['Core fucose', '(GlcNAc)4 (LFuc)1 (Man)3 (Asn)1']]","[['glycoprotein 6-alpha-L-fucosyltransferase', 'GDP-fucose---glycoprotein fucosyltransferase', 'GDP-L-Fuc:N-acetyl-beta-D-glucosaminide alpha1->6fucosyltransferase', 'GDP-L-fucose-glycoprotein fucosyltransferase', 'glycoprotein fucosyltransferase', 'guanosine diphosphofucose-glycoprotein fucosyltransferase', 'GDP-L-fucose:glycoprotein (L-fucose to asparagine-linked N-acetylglucosamine of 4-N-{N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->3)-[N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->6)]-beta-D-mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl}asparagine) 6-alpha-L-fucosyltransferase', 'FucT', 'GDP-L-fucose:glycoprotein (L-fucose to asparagine-linked N-acetylglucosamine of N4-{N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->3)-[N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->6)]-beta-D-mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl}asparagine) 6-alpha-L-fucosyltransferase', 'GDP-beta-L-fucose:glycoprotein (L-fucose to asparagine-linked N-acetylglucosamine of N4-{N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->3)-[N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->6)]-beta-D-mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl}asparagine) 6-alpha-L-fucosyltransferase']]"
rnR05992,[],[['(GlcNAc)6 (Man)3 (Asn)1']],[['(GlcNAc)7 (Man)3 (Asn)1']],"[['alpha-1,6-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase', 'MGAT4C (gene name)', 'N-acetylglucosaminyltransferase VI', 'N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase VI', 'uridine diphosphoacetylglucosamine-glycopeptide beta-1->4-acetylglucosaminyltransferase VI', 'mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase', 'GnTVI', 'GlcNAc-T VI', 'UDP-N-acetyl-D-glucosamine:2,6-bis(N-acetyl-beta-D-glucosaminyl)-alpha-D-mannosyl-glycoprotein 4-beta-N-acetyl-D-glucosaminyltransferase']]"
rnR05989,"['UDP-galactose:N-acetyl-beta-D-glucosaminylglycopeptide beta-1,4-galactosyltransferase']","[['Core fucose', '(GlcNAc)4 (LFuc)1 (Man)3 (Asn)1']]",[['(Gal)2 (GlcNAc)4 (LFuc)1 (Man)3 (Asn)1']],"[['beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase', 'UDP-galactose---glycoprotein galactosyltransferase', 'glycoprotein 4-beta-galactosyl-transferase', 'beta-N-acetyl-beta1-4-galactosyltransferase', 'thyroid glycoprotein beta-galactosyltransferase', 'glycoprotein beta-galactosyltransferase', 'thyroid galactosyltransferase', 'uridine diphosphogalactose-glycoprotein galactosyltransferase', 'beta-N-acetylglucosaminyl-glycopeptide beta-1,4-galactosyltransferase', 'GalT', 'UDP-galactose:N-acetyl-beta-D-glucosaminylglycopeptide beta-1,4-galactosyltransferase', 'UDP-galactose:N-acetyl-beta-D-glucosaminylglycopeptide 4-beta-galactosyltransferase']]"
