id,name,reactants,products,modifiers
rnR08706,['UDP-N-acetyl-D-glucosaminuronate 4-epimerase'],"[['UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate', 'UDP-N-acetyl-D-glucosaminuronate', 'UDP-N-acetyl-2-amino-2-deoxy-alpha-D-glucuronate', 'UDP-N-acetyl-alpha-D-glucosaminouronate']]","[['UDP-N-acetyl-D-galactosaminuronic acid', 'UDP-N-acetyl-alpha-D-galactosaminouronate']]","[['UDP-N-acetyl-alpha-D-glucosaminouronate 4-epimerase', 'tviC (gene name)', 'wbpP (gene name)', 'UDP-N-acetylglucosaminuronic acid 4-epimerase']]"
rnR00418,['UDP-N-acetyl-D-glucosamine 4-epimerase'],"[['UDP-N-acetyl-alpha-D-glucosamine', 'UDP-N-acetyl-D-glucosamine', 'UDP-N-acetylglucosamine']]","[['UDP-N-acetyl-D-galactosamine', 'UDP-N-acetyl-alpha-D-galactosamine']]","[['UDP-N-acetylglucosamine 4-epimerase', 'UDP acetylglucosamine epimerase', 'uridine diphosphoacetylglucosamine epimerase', 'uridine diphosphate N-acetylglucosamine-4-epimerase', ""uridine 5'-diphospho-N-acetylglucosamine-4-epimerase"", 'UDP-N-acetyl-D-glucosamine 4-epimerase']]"
rnR09600,"['2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate 2-epimerase']","[['UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate', 'UDP-alpha-D-GlcNAc3NAcA', 'UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronic acid']]","[['UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate', 'UDP-alpha-D-ManNAc3NAcA', 'UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronic acid']]","[['UDP-2,3-diacetamido-2,3-dideoxyglucuronic acid 2-epimerase', 'UDP-GlcNAc3NAcA 2-epimerase', 'UDP-alpha-D-GlcNAc3NAcA 2-epimerase', '2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronic acid 2-epimerase', 'WbpI', 'WlbD']]"
rnR10100,"['acetyl-CoA:UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate 3-N-acetyltransferase']","[['UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate']]","[['UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate', 'UDP-alpha-D-GlcNAc3NAcA', 'UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronic acid']]","[['UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase', 'WbpD', 'WlbB']]"
rnR10141,"['UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate:2-oxoglutarate aminotransferase']","[['UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate', 'UDP-3-keto-GlcNAcA']]","[['UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate']]","[['UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase', 'WbpE', 'WlbC']]"
rnR10140,['UDP-N-acetyl-2-amino-2-deoxy-alpha-D-glucuronate:NAD+ 3-oxidoreductase'],"[['UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate', 'UDP-N-acetyl-D-glucosaminuronate', 'UDP-N-acetyl-2-amino-2-deoxy-alpha-D-glucuronate', 'UDP-N-acetyl-alpha-D-glucosaminouronate']]","[['UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate', 'UDP-3-keto-GlcNAcA']]","[['UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase', 'WlbA', 'WbpB']]"
rnR00421,['UDP-N-acetyl-D-glucosamine:NAD+ 6-oxidoreductase'],"[['UDP-N-acetyl-alpha-D-glucosamine', 'UDP-N-acetyl-D-glucosamine', 'UDP-N-acetylglucosamine']]","[['UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate', 'UDP-N-acetyl-D-glucosaminuronate', 'UDP-N-acetyl-2-amino-2-deoxy-alpha-D-glucuronate', 'UDP-N-acetyl-alpha-D-glucosaminouronate']]","[['UDP-N-acetylglucosamine 6-dehydrogenase', 'uridine diphosphoacetylglucosamine dehydrogenase', 'UDP-acetylglucosamine dehydrogenase', 'UDP-2-acetamido-2-deoxy-D-glucose:NAD oxidoreductase', 'UDP-GlcNAc dehydrogenase', 'WbpA', 'WbpO']]"
rnR04529,"['UDP-4-amino-4,6-dideoxy-N-acetyl-alpha-D-glucosamine:2-oxoglutarate aminotransferase']","[['UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose', 'UDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-hexos-4-ulose', 'UDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-hex-4-ulose', 'UDP-2-acetamido-2,6-dideoxy-alpha-D-xylohex-4-ulose', 'UDP-4-keto-6-deoxy-GlcNAc']]","[['UDP-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucose', 'UDP-4-amino-4,6-dideoxy-N-acetyl-alpha-D-glucosamine', 'UDP-N-acetylbacillosamine']]","[['UDP-N-acetylbacillosamine transaminase', 'uridine diphospho-4-amino-2-acetamido-2,4,6-trideoxyglucose aminotransferase', 'UDP-4-amino-4,6-dideoxy-N-acetyl-alpha-D-glucosamine transaminase', 'UDP-2-acetamido-4-amino-2,4,6-trideoxyglucose transaminase', 'pglE (gene name)', 'UDP-2-acetamido-4-amino-2,4,6-trideoxyglucose:2-oxoglutarate aminotransferase']]"
rnR00414,['UDP-N-acetyl-D-glucosamine 2-epimerase'],"[['UDP-N-acetyl-alpha-D-glucosamine', 'UDP-N-acetyl-D-glucosamine', 'UDP-N-acetylglucosamine']]","[['N-Acetyl-D-mannosamine', '2-Acetamido-2-deoxy-D-mannose']]","[['UDP-N-acetylglucosamine 2-epimerase (hydrolysing)', 'UDP-N-acetylglucosamine 2-epimerase (ambiguous)', 'GNE (gene name)', 'siaA (gene name)', 'neuC (gene name)']]"
rnR10266,['UDP-N-acetyl-alpha-D-glucosamine hydro-lyase'],"[['UDP-N-acetyl-alpha-D-glucosamine', 'UDP-N-acetyl-D-glucosamine', 'UDP-N-acetylglucosamine']]","[['UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose', 'UDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-hexos-4-ulose', 'UDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-hex-4-ulose', 'UDP-2-acetamido-2,6-dideoxy-alpha-D-xylohex-4-ulose', 'UDP-4-keto-6-deoxy-GlcNAc']]","[['UDP-N-acetylglucosamine 4,6-dehydratase (configuration-retaining)', 'PglF']]"
