id,name,reactants,products,modifiers
rnR07703,"['1,2-dihydrophthalic acid:NAD+ oxidoreductase']","[['1,2-Dihydrophthalic acid', 'Cyclohexa-3,5-diene-1,2-dicarboxylate']]","[['Phthalate', 'o-Phthalic acid', '1,2-Benzenedicarboxylic acid']]","[['cis-1,2-dihydrobenzene-1,2-diol dehydrogenase', 'cis-benzene glycol dehydrogenase', 'cis-1,2-dihydrocyclohexa-3,5-diene (nicotinamide adenine dinucleotide) oxidoreductase']]"
rnR07705,"['anthracene cis-1,2-dihydrodiol:NAD+ 1,2-oxidoreductase']","[['Anthracene-cis-1,2-dihydrodiol', 'cis-1,2-Dihydroanthracene-1,2-diol']]","[['1,2-Anthracenediol']]","[['cis-1,2-dihydro-1,2-dihydroxynaphthalene dehydrogenase', '(+)-cis-naphthalene dihydrodiol dehydrogenase', 'naphthalene dihydrodiol dehydrogenase', 'cis-dihydrodiol naphthalene dehydrogenase', 'cis-1,2-dihydronaphthalene-1,2-diol:NAD+ 1,2-oxidoreductase']]"
rnR07704,"['anthracene,NADH:oxygen oxidoreductase (1,2-hydroxylating)']",[['Anthracene']],"[['Anthracene-cis-1,2-dihydrodiol', 'cis-1,2-Dihydroanthracene-1,2-diol']]","[['naphthalene 1,2-dioxygenase', 'naphthalene dioxygenase', 'naphthalene oxygenase', 'NDO']]"
rnR05643,['2-formylbenzoate:NAD+ oxidoreductase'],"[['2-Carboxybenzaldehyde', 'Phthalaldehydic acid', 'o-Formylbenzoic acid', '2-Formylbenzoic acid', '2-Formylbenzoate']]","[['Phthalate', 'o-Phthalic acid', '1,2-Benzenedicarboxylic acid']]","[['2-formylbenzoate dehydrogenase', '2-carboxybenzaldehyde dehydrogenase', '2CBAL dehydrogenase', 'PhdK']]"
rnR05632,"['1-hydroxy-2-naphthoate,NADH:oxygen oxidoreductase (2-hydroxylating, decarboxylating)']","[['1-Hydroxy-2-naphthoate', '1-Hydroxy-2-naphthoic acid', '1-Naphthol-2-carboxylic acid']]","[['Naphthalene-1,2-diol', '1,2-Naphthalenediol', 'beta-Naphthohydroquinone', '1,2-Dihydroxynaphthalene']]","[['salicylate 1-monooxygenase', 'salicylate hydroxylase', 'salicylate 1-hydroxylase', 'salicylate monooxygenase', 'salicylate hydroxylase (decarboxylating)']]"
rnR07713,['(3Z)-4-(2-carboxyphenyl)-2-oxobut-3-enoate 2-formylbenzoate-lyase (pyruvate-forming)'],"[['(3Z)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate', ""cis-2'-Carboxybenzalpyruvate""]]","[['2-Carboxybenzaldehyde', 'Phthalaldehydic acid', 'o-Formylbenzoic acid', '2-Formylbenzoic acid', '2-Formylbenzoate']]","[['4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase', ""2'-carboxybenzalpyruvate aldolase"", '(3E)-4-(2-carboxyphenyl)-2-oxobut-3-enoate 2-carboxybenzaldehyde-lyase', '(3Z)-4-(2-carboxyphenyl)-2-oxobut-3-enoate 2-formylbenzoate-lyase']]"
rnR04151,"['(+)-cis-3,4-dihydrophenanthrene-3,4-diol:NAD+ 3,4-oxidoreductase']","[['(+)-cis-3,4-Dihydrophenanthrene-3,4-diol', 'cis-3,4-Dihydroxy-3,4-dihydrophenanthrene']]","[['Phenanthrene-3,4-diol', '3,4-Dihydroxyphenanthrene']]","[['cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase']]"
rnR07657,"['1-hydroxy-2-naphthoate:oxygen 1,2-oxidoreductase (decyclizing)']","[['1-Hydroxy-2-naphthoate', '1-Hydroxy-2-naphthoic acid', '1-Naphthol-2-carboxylic acid']]","[['(3Z)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate', ""cis-2'-Carboxybenzalpyruvate""]]","[['1-hydroxy-2-naphthoate 1,2-dioxygenase', '1-hydroxy-2-naphthoate dioxygenase', '1-hydroxy-2-naphthoate-degrading enzyme', '1-hydroxy-2-naphthoic acid dioxygenase', '1-hydroxy-2-naphthoate:oxygen 1,2-oxidoreductase (decyclizing)']]"
rnR00818,"['salicylate,NADH:oxygen oxidoreductase (1-hydroxylating, decarboxylating)']","[['Salicylate', 'o-Hydroxybenzoic acid', 'Salicylic acid']]","[['Catechol', '1,2-Benzenediol', 'o-Benzenediol', '1,2-Dihydroxybenzene', 'Brenzcatechin', 'Pyrocatechol']]","[['salicylate 1-monooxygenase', 'salicylate hydroxylase', 'salicylate 1-hydroxylase', 'salicylate monooxygenase', 'salicylate hydroxylase (decarboxylating)']]"
rnR09162,"['cis-4,5-dihydroxy-4,5-dihydropyrene:NAD+ 4,5-oxidoreductase']","[['cis-4,5-Dihydroxy-4,5-dihydropyrene', 'cis-4,5-Dihydro-4,5-pyrenediol']]","[['4,5-Dihydroxypyrene']]","[['cis-1,2-dihydro-1,2-dihydroxynaphthalene dehydrogenase', '(+)-cis-naphthalene dihydrodiol dehydrogenase', 'naphthalene dihydrodiol dehydrogenase', 'cis-dihydrodiol naphthalene dehydrogenase', 'cis-1,2-dihydronaphthalene-1,2-diol:NAD+ 1,2-oxidoreductase']]"
