id,name,reactants,products,modifiers
rnR08706,['UDP-N-acetyl-D-glucosaminuronate 4-epimerase'],"[['UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate', 'UDP-N-acetyl-D-glucosaminuronate', 'UDP-N-acetyl-2-amino-2-deoxy-alpha-D-glucuronate', 'UDP-N-acetyl-alpha-D-glucosaminouronate']]","[['UDP-N-acetyl-D-galactosaminuronic acid', 'UDP-N-acetyl-alpha-D-galactosaminouronate']]","[['tviC, vipB', 'UDP-N-acetyl-alpha-D-glucosaminouronate 4-epimerase']]"
rnR12590,[],"[['UDP-N-acetyl-D-galactosaminuronic acid', 'UDP-N-acetyl-alpha-D-galactosaminouronate']]","[['UDP-2-acetamido-2-deoxy-alpha-D-galacturonamide', 'UDP-GalNAcAN']]","[['wbpS', 'glutamine-dependent amidotransferase']]"
rnR06894,[],"[['UDP-N-acetyl-D-galactosamine', 'UDP-N-acetyl-alpha-D-galactosamine']]","[['UDP-N-acetyl-D-galactosaminuronic acid', 'UDP-N-acetyl-alpha-D-galactosaminouronate']]","[['wbpO', 'UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase']]"
rnR00418,['UDP-N-acetyl-D-glucosamine 4-epimerase'],"[['UDP-N-acetyl-alpha-D-glucosamine', 'UDP-N-acetyl-D-glucosamine', 'UDP-N-acetylglucosamine']]","[['UDP-N-acetyl-D-galactosamine', 'UDP-N-acetyl-alpha-D-galactosamine']]","[['wbpP', 'UDP-N-acetylglucosamine/UDP-N-acetyl-alpha-D-glucosaminouronate 4-epimerase']]"
rnR12586,[],"[['UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate', 'UDP-alpha-D-ManNAc3NAcA', 'UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronic acid']]","[['UDP-2,3-dideoxy-2-acetamido-3-acetamidino-alpha-D-mannuronic acid', 'UDP-D-Man(2NAc3NAm)A']]","[['wbpG', 'aminotransferase']]"
rnR09600,"['2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate 2-epimerase']","[['UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate', 'UDP-alpha-D-GlcNAc3NAcA', 'UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronic acid']]","[['UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate', 'UDP-alpha-D-ManNAc3NAcA', 'UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronic acid']]","[['wbpI, wlbD', 'UDP-GlcNAc3NAcA epimerase']]"
rnR10100,"['acetyl-CoA:UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate 3-N-acetyltransferase']","[['UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate']]","[['UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate', 'UDP-alpha-D-GlcNAc3NAcA', 'UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronic acid']]","[['wbpD, wlbB', 'UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase']]"
rnR10141,"['UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate:2-oxoglutarate aminotransferase']","[['UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate', 'UDP-3-keto-GlcNAcA']]","[['UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate']]","[['wbpE, wlbC', 'UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase']]"
rnR10140,['UDP-N-acetyl-2-amino-2-deoxy-alpha-D-glucuronate:NAD+ 3-oxidoreductase'],"[['UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate', 'UDP-N-acetyl-D-glucosaminuronate', 'UDP-N-acetyl-2-amino-2-deoxy-alpha-D-glucuronate', 'UDP-N-acetyl-alpha-D-glucosaminouronate']]","[['UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate', 'UDP-3-keto-GlcNAcA']]","[['wbpB', 'UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase']]"
rnR00421,['UDP-N-acetyl-D-glucosamine:NAD+ 6-oxidoreductase'],"[['UDP-N-acetyl-alpha-D-glucosamine', 'UDP-N-acetyl-D-glucosamine', 'UDP-N-acetylglucosamine']]","[['UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate', 'UDP-N-acetyl-D-glucosaminuronate', 'UDP-N-acetyl-2-amino-2-deoxy-alpha-D-glucuronate', 'UDP-N-acetyl-alpha-D-glucosaminouronate']]","[['wbpA', 'UDP-N-acetyl-D-glucosamine dehydrogenase']]"
